model_label,task_id,contest,problem_number,replicates,successes,solve_rate,valid_answers,parsed_rate,accuracy_on_valid_answer,mean_output_tokens,length_finish_rate
qwen_2026,2026_AIME_I_P01,AIME_I,1,10,10,1.0,10,1.0,1.0,1212.5,0.0
qwen_2026,2026_AIME_I_P02,AIME_I,2,10,5,0.5,10,1.0,0.5,5229.1,0.0
qwen_2026,2026_AIME_I_P03,AIME_I,3,10,8,0.8,8,0.8,1.0,1937.5,0.0
qwen_2026,2026_AIME_I_P04,AIME_I,4,10,5,0.5,10,1.0,0.5,5048.1,0.0
qwen_2026,2026_AIME_I_P05,AIME_I,5,10,10,1.0,10,1.0,1.0,1337.1,0.0
qwen_2026,2026_AIME_I_P06,AIME_I,6,10,10,1.0,10,1.0,1.0,1775.8,0.0
qwen_2026,2026_AIME_I_P07,AIME_I,7,10,9,0.9,10,1.0,0.9,2719.6,0.0
qwen_2026,2026_AIME_I_P08,AIME_I,8,10,10,1.0,10,1.0,1.0,3005.1,0.0
qwen_2026,2026_AIME_I_P09,AIME_I,9,10,1,0.1,6,0.6,0.16666666666666666,11548.3,0.4
qwen_2026,2026_AIME_I_P10,AIME_I,10,10,0,0.0,9,0.9,0.0,10200.5,0.1
qwen_2026,2026_AIME_I_P11,AIME_I,11,10,4,0.4,10,1.0,0.4,7997.4,0.0
qwen_2026,2026_AIME_I_P12,AIME_I,12,10,8,0.8,9,0.9,0.8888888888888888,6661.0,0.1
qwen_2026,2026_AIME_I_P13,AIME_I,13,10,1,0.1,10,1.0,0.1,8348.9,0.0
qwen_2026,2026_AIME_I_P14,AIME_I,14,10,0,0.0,2,0.2,0.0,15080.6,0.8
qwen_2026,2026_AIME_I_P15,AIME_I,15,10,0,0.0,9,0.9,0.0,9039.4,0.1
qwen_2026,2026_AIME_II_P01,AIME_II,1,10,6,0.6,10,1.0,0.6,1669.7,0.0
qwen_2026,2026_AIME_II_P02,AIME_II,2,10,1,0.1,6,0.6,0.16666666666666666,11690.2,0.4
qwen_2026,2026_AIME_II_P03,AIME_II,3,10,2,0.2,6,0.6,0.3333333333333333,11093.4,0.4
qwen_2026,2026_AIME_II_P04,AIME_II,4,10,8,0.8,10,1.0,0.8,4839.5,0.0
qwen_2026,2026_AIME_II_P05,AIME_II,5,10,10,1.0,10,1.0,1.0,3385.9,0.0
qwen_2026,2026_AIME_II_P06,AIME_II,6,10,6,0.6,9,0.9,0.6666666666666666,6824.7,0.1
qwen_2026,2026_AIME_II_P07,AIME_II,7,10,9,0.9,10,1.0,0.9,4195.6,0.0
qwen_2026,2026_AIME_II_P08,AIME_II,8,10,2,0.2,6,0.6,0.3333333333333333,11218.7,0.4
qwen_2026,2026_AIME_II_P09,AIME_II,9,10,10,1.0,10,1.0,1.0,4935.0,0.0
qwen_2026,2026_AIME_II_P10,AIME_II,10,10,9,0.9,10,1.0,0.9,3969.1,0.0
qwen_2026,2026_AIME_II_P11,AIME_II,11,10,4,0.4,7,0.7,0.5714285714285714,11074.8,0.3
qwen_2026,2026_AIME_II_P12,AIME_II,12,10,6,0.6,7,0.7,0.8571428571428571,10881.2,0.3
qwen_2026,2026_AIME_II_P13,AIME_II,13,10,0,0.0,7,0.7,0.0,8758.1,0.1
qwen_2026,2026_AIME_II_P14,AIME_II,14,10,0,0.0,6,0.6,0.0,10737.3,0.4
qwen_2026,2026_AIME_II_P15,AIME_II,15,10,0,0.0,9,0.9,0.0,6961.1,0.1
