model_label,task_id,contest,problem_number,replicates,successes,solve_rate,valid_answers,parsed_rate,accuracy_on_valid_answer,mean_output_tokens,length_finish_rate
qwen3-4b,2025_AIME_I_P01,AIME_I,1,10,10,1.0,10,1.0,1.0,918.3,0.0
qwen3-4b,2025_AIME_I_P02,AIME_I,2,10,8,0.8,10,1.0,0.8,6087.1,0.0
qwen3-4b,2025_AIME_I_P03,AIME_I,3,10,10,1.0,10,1.0,1.0,1740.2,0.0
qwen3-4b,2025_AIME_I_P04,AIME_I,4,10,10,1.0,10,1.0,1.0,2293.6,0.0
qwen3-4b,2025_AIME_I_P05,AIME_I,5,10,7,0.7,9,0.9,0.7777777777777778,6397.1,0.1
qwen3-4b,2025_AIME_I_P06,AIME_I,6,10,10,1.0,10,1.0,1.0,1653.4,0.0
qwen3-4b,2025_AIME_I_P07,AIME_I,7,10,0,0.0,10,1.0,0.0,5079.4,0.0
qwen3-4b,2025_AIME_I_P08,AIME_I,8,10,4,0.4,7,0.7,0.5714285714285714,7852.1,0.2
qwen3-4b,2025_AIME_I_P09,AIME_I,9,10,0,0.0,0,0.0,,16384.0,1.0
qwen3-4b,2025_AIME_I_P10,AIME_I,10,10,0,0.0,10,1.0,0.0,7181.3,0.0
qwen3-4b,2025_AIME_I_P11,AIME_I,11,10,2,0.2,4,0.4,0.5,12994.8,0.5
qwen3-4b,2025_AIME_I_P12,AIME_I,12,10,7,0.7,9,0.9,0.7777777777777778,6572.1,0.0
qwen3-4b,2025_AIME_I_P13,AIME_I,13,10,0,0.0,4,0.4,0.0,13239.4,0.6
qwen3-4b,2025_AIME_I_P14,AIME_I,14,10,0,0.0,9,0.9,0.0,8999.0,0.1
qwen3-4b,2025_AIME_I_P15,AIME_I,15,10,0,0.0,9,0.9,0.0,7872.1,0.0
qwen3-4b,2025_AIME_II_P01,AIME_II,1,10,10,1.0,10,1.0,1.0,1560.8,0.0
qwen3-4b,2025_AIME_II_P02,AIME_II,2,10,10,1.0,10,1.0,1.0,1554.8,0.0
qwen3-4b,2025_AIME_II_P03,AIME_II,3,10,2,0.2,10,1.0,0.2,8463.1,0.0
qwen3-4b,2025_AIME_II_P04,AIME_II,4,10,10,1.0,10,1.0,1.0,1873.5,0.0
qwen3-4b,2025_AIME_II_P05,AIME_II,5,10,0,0.0,9,0.9,0.0,9404.3,0.1
qwen3-4b,2025_AIME_II_P06,AIME_II,6,10,7,0.7,7,0.7,1.0,10119.3,0.3
qwen3-4b,2025_AIME_II_P07,AIME_II,7,10,6,0.6,7,0.7,0.8571428571428571,3589.7,0.0
qwen3-4b,2025_AIME_II_P08,AIME_II,8,10,0,0.0,8,0.8,0.0,10836.6,0.2
qwen3-4b,2025_AIME_II_P09,AIME_II,9,10,2,0.2,10,1.0,0.2,3163.7,0.0
qwen3-4b,2025_AIME_II_P10,AIME_II,10,10,0,0.0,4,0.4,0.0,14258.6,0.6
qwen3-4b,2025_AIME_II_P11,AIME_II,11,10,1,0.1,8,0.8,0.125,8826.5,0.2
qwen3-4b,2025_AIME_II_P12,AIME_II,12,10,8,0.8,9,0.9,0.8888888888888888,6468.0,0.1
qwen3-4b,2025_AIME_II_P13,AIME_II,13,10,0,0.0,8,0.8,0.0,10500.0,0.2
qwen3-4b,2025_AIME_II_P14,AIME_II,14,10,8,0.8,8,0.8,1.0,9197.5,0.2
qwen3-4b,2025_AIME_II_P15,AIME_II,15,10,0,0.0,7,0.7,0.0,11245.3,0.3
