edge_count,difficulty_band,runs,initial_utility,final_utility,paired_delta,correct_preservation_C_to_C,correct_corruption_C_to_not_C,other_error_correction_O_to_C,unparsed_correction_U_to_C,count_C_to_C,count_C_to_O,count_C_to_U,count_O_to_C,count_O_to_O,count_O_to_U,count_U_to_C,count_U_to_O,count_U_to_U,graphs,tasks,initial_utility_hierarchical_bootstrap_95_low,initial_utility_hierarchical_bootstrap_95_high,final_utility_hierarchical_bootstrap_95_low,final_utility_hierarchical_bootstrap_95_high,paired_delta_hierarchical_bootstrap_95_low,paired_delta_hierarchical_bootstrap_95_high
4,ceiling,45,0.8888888888888888,0.9777777777777777,0.08888888888888889,0.975,0.025000000000000022,1.0,1.0,39,1,0,3,0,0,2,0,0,5,9,0.6888888888888889,1.0,0.8666666666666667,1.0,-0.08888888888888889,0.3111111111111111
4,floor,45,0.022222222222222223,0.15555555555555556,0.13333333333333333,1.0,0.0,0.16666666666666666,0.0,1,0,0,6,30,0,0,8,0,5,9,0.0,0.13333333333333333,0.0,0.37777777777777777,0.0,0.3333333333333333
4,informative,60,0.6166666666666667,0.9,0.2833333333333333,0.918918918918919,0.08108108108108103,0.8888888888888888,0.8,34,3,0,16,2,0,4,0,1,5,12,0.4166666666666667,0.8166666666666667,0.75,1.0,0.05,0.48333333333333334
8,ceiling,45,0.9333333333333333,1.0,0.06666666666666667,1.0,0.0,1.0,1.0,42,0,0,2,0,0,1,0,0,5,9,0.8,1.0,1.0,1.0,0.0,0.17777777777777778
8,floor,45,0.06666666666666667,0.17777777777777778,0.1111111111111111,0.6666666666666666,0.33333333333333337,0.11764705882352941,0.25,2,1,0,4,29,1,2,5,1,5,9,0.0,0.2222222222222222,0.0,0.4222222222222222,-0.044444444444444446,0.3111111111111111
8,informative,60,0.6666666666666666,0.8833333333333333,0.21666666666666667,0.925,0.07499999999999996,0.8125,0.75,37,3,0,13,2,1,3,1,0,5,12,0.4666666666666667,0.8666666666666667,0.7166666666666667,1.0,0.0,0.4166666666666667
12,ceiling,45,0.8888888888888888,1.0,0.1111111111111111,1.0,0.0,1.0,1.0,40,0,0,4,0,0,1,0,0,5,9,0.7333333333333333,1.0,1.0,1.0,0.0,0.26666666666666666
12,floor,45,0.08888888888888889,0.1111111111111111,0.022222222222222223,0.75,0.25,0.03225806451612903,0.1,3,1,0,1,30,0,1,9,0,5,9,0.0,0.24444444444444444,0.0,0.3116666666666586,-0.08888888888888889,0.17777777777777778
12,informative,60,0.6333333333333333,0.8666666666666667,0.23333333333333334,0.9473684210526315,0.052631578947368474,0.6470588235294118,1.0,36,1,1,11,6,0,5,0,0,5,12,0.45,0.8166666666666667,0.6833333333333333,1.0,0.06666666666666667,0.4166666666666667
16,ceiling,9,0.6666666666666666,1.0,0.3333333333333333,1.0,0.0,1.0,,6,0,0,3,0,0,0,0,0,1,9,0.3333333333333333,0.8888888888888888,1.0,1.0,0.0,0.6666666666666666
16,floor,9,0.1111111111111111,0.0,-0.1111111111111111,0.0,1.0,0.0,0.0,0,1,0,0,6,0,0,2,0,1,9,0.0,0.3333333333333333,0.0,0.0,-0.3333333333333333,0.0
16,informative,12,0.5833333333333334,0.9166666666666666,0.3333333333333333,1.0,0.0,0.6666666666666666,1.0,7,0,0,2,1,0,2,0,0,1,12,0.3333333333333333,0.8333333333333334,0.75,1.0,0.08333333333333333,0.5833333333333334
