graph_id,runs,initial_utility,final_utility,paired_delta,correct_preservation_C_to_C,correct_corruption_C_to_not_C,other_error_correction_O_to_C,unparsed_correction_U_to_C,count_C_to_C,count_C_to_O,count_C_to_U,count_O_to_C,count_O_to_O,count_O_to_U,count_U_to_C,count_U_to_O,count_U_to_U,edge_count,mean_model_calls,mean_backend_calls,mean_input_tokens,mean_output_tokens,mean_private_output_tokens,mean_public_output_tokens,mean_serial_generation_latency_seconds,length_turn_rate,private_length_turn_rate,summary_answer_mismatch_rate
g-n5-m4-020c02ee23fd10e6,30,0.5333333333333333,0.6333333333333333,0.1,0.875,0.125,0.25,1.0,14,2,0,3,9,0,2,0,0,4,14.0,28.0,86895.3,79162.16666666667,73136.23333333334,6025.933333333333,4026.38264883856,0.002380952380952381,0.02619047619047619,0.01728395061728395
g-n5-m4-8ace11eb98f60ea5,30,0.4666666666666667,0.7333333333333333,0.26666666666666666,1.0,0.0,0.5384615384615384,0.3333333333333333,14,0,0,7,6,0,1,2,0,4,13.0,26.0,77980.6,71104.33333333333,65724.63333333333,5379.7,3622.259514423832,0.002564102564102564,0.023076923076923078,0.008021390374331552
g-n5-m4-c86f6be403cf7523,30,0.5,0.7,0.2,1.0,0.0,0.5,0.0,15,0,0,6,6,0,0,2,1,4,14.0,28.0,80769.93333333333,72924.76666666666,67011.06666666667,5913.7,3521.5646253924815,0.004761904761904762,0.014285714285714285,0.0196078431372549
g-n5-m4-e6b58e28f5d141e8,30,0.5666666666666667,0.7333333333333333,0.16666666666666666,0.9411764705882353,0.05882352941176472,0.5555555555555556,0.25,16,1,0,5,4,0,1,3,0,4,12.0,24.0,76421.9,70419.13333333333,65427.63333333333,4991.5,3583.2967341894905,0.005555555555555556,0.05,0.011869436201780416
g-n5-m4-fc174fd4cac969a2,30,0.5333333333333333,0.7,0.16666666666666666,0.9375,0.0625,0.36363636363636365,0.6666666666666666,15,1,0,4,7,0,2,1,0,4,16.0,32.0,92399.5,83117.03333333334,76396.46666666666,6720.566666666667,3979.328849797075,0.0020833333333333333,0.025,0.008658008658008658
g-n5-m8-098c132ef3277e03,30,0.5333333333333333,0.7333333333333333,0.2,1.0,0.0,0.45454545454545453,0.3333333333333333,16,0,0,5,5,1,1,2,0,8,13.0,26.0,78570.76666666666,69516.2,64061.76666666667,5454.433333333333,3351.426345282545,0.002564102564102564,0.02564102564102564,0.0053475935828877
g-n5-m8-7f3a9ce5d54de331,30,0.5666666666666667,0.7,0.13333333333333333,0.9411764705882353,0.05882352941176472,0.3333333333333333,0.5,16,1,0,3,5,1,2,2,0,8,13.0,26.0,79697.93333333333,70865.23333333334,65382.1,5483.133333333333,3640.826096245895,0.005128205128205128,0.04358974358974359,0.0136986301369863
g-n5-m8-8cbea459f4a9f71d,30,0.5666666666666667,0.7333333333333333,0.16666666666666666,1.0,0.0,0.3333333333333333,0.5,17,0,0,3,6,0,2,1,1,8,14.0,28.0,85779.36666666667,75566.4,69831.13333333333,5735.266666666666,3573.416423570737,0.0,0.030952380952380953,0.009876543209876543
g-n5-m8-9970b4b974e58087,30,0.5666666666666667,0.6666666666666666,0.1,0.9411764705882353,0.05882352941176472,0.3333333333333333,0.0,16,1,0,4,8,0,0,1,0,8,12.0,24.0,73029.03333333334,66076.13333333333,61127.833333333336,4948.3,3380.8408944200723,0.0,0.019444444444444445,0.014450867052023121
g-n5-m8-d7ed48430d5f1b67,30,0.6,0.7,0.1,0.8888888888888888,0.11111111111111116,0.36363636363636365,1.0,16,2,0,4,7,0,1,0,0,8,14.0,28.0,83215.06666666667,74049.23333333334,68207.93333333333,5841.3,3795.956782077998,0.004761904761904762,0.02619047619047619,0.014778325123152709
g-n5-m12-245b8a7d712cb4a0,30,0.5666666666666667,0.7,0.13333333333333333,0.9411764705882353,0.05882352941176472,0.3,0.6666666666666666,16,1,0,3,7,0,2,1,0,12,15.0,30.0,94992.3,80716.7,74415.63333333333,6301.066666666667,3775.1214569018534,0.0,0.03333333333333333,0.016355140186915886
g-n5-m12-aa67d00fd87be761,30,0.5666666666666667,0.7666666666666667,0.2,1.0,0.0,0.375,0.6,17,0,0,3,5,0,3,2,0,12,15.0,30.0,92965.06666666667,78532.5,72320.83333333333,6211.666666666667,3715.4473981798938,0.0,0.03111111111111111,0.004608294930875576
g-n5-m12-b7994e50c3403f63,30,0.5333333333333333,0.6666666666666666,0.13333333333333333,1.0,0.0,0.2727272727272727,0.3333333333333333,16,0,0,3,8,0,1,2,0,12,16.0,32.0,99684.13333333333,83687.76666666666,76997.96666666666,6689.8,4218.7803785605975,0.0,0.020833333333333332,0.008565310492505354
g-n5-m12-c2d302af32c23635,30,0.5333333333333333,0.6666666666666666,0.13333333333333333,0.9375,0.0625,0.4,0.25,15,0,1,4,6,0,1,3,0,12,15.0,30.0,93809.5,79712.86666666667,73578.63333333333,6134.233333333334,4026.921584958459,0.0022222222222222222,0.028888888888888888,0.006993006993006993
g-n5-m12-e751609d27011f71,30,0.5333333333333333,0.6,0.06666666666666667,0.9375,0.0625,0.23076923076923078,0.0,15,1,0,3,10,0,0,1,0,12,15.0,30.0,93704.43333333333,79144.5,72937.2,6207.3,4020.414849220216,0.0,0.02,0.011494252873563218
g-n5-m16-d8343258cfd33056,30,0.4666666666666667,0.6666666666666666,0.2,0.9285714285714286,0.0714285714285714,0.4166666666666667,0.5,13,1,0,5,7,0,2,2,0,16,16.0,32.0,99301.5,79881.73333333334,73278.43333333333,6603.3,4037.0816132680825,0.0,0.01875,0.006423982869379015
