edge_count,difficulty_band,runs,initial_utility,final_utility,paired_delta,correct_preservation_C_to_C,correct_corruption_C_to_not_C,other_error_correction_O_to_C,unparsed_correction_U_to_C,count_C_to_C,count_C_to_O,count_C_to_U,count_O_to_C,count_O_to_O,count_O_to_U,count_U_to_C,count_U_to_O,count_U_to_U,graphs,tasks,initial_utility_hierarchical_bootstrap_95_low,initial_utility_hierarchical_bootstrap_95_high,final_utility_hierarchical_bootstrap_95_low,final_utility_hierarchical_bootstrap_95_high,paired_delta_hierarchical_bootstrap_95_low,paired_delta_hierarchical_bootstrap_95_high
4,ceiling,45,0.9333333333333333,1.0,0.06666666666666667,1.0,0.0,1.0,,42,0,0,3,0,0,0,0,0,5,9,0.8,1.0,1.0,1.0,0.0,0.17777777777777778
4,floor,45,0.0,0.13333333333333333,0.13333333333333333,,,0.15789473684210525,0.0,0,0,0,6,31,1,0,5,2,5,9,0.0,0.0,0.0,0.35555555555555557,0.0,0.37777777777777777
4,informative,60,0.65,0.95,0.3,0.9487179487179487,0.05128205128205132,1.0,0.75,37,2,0,17,0,0,3,1,0,5,12,0.4166666666666667,0.8333333333333334,0.8333333333333334,1.0,0.08333333333333333,0.5333333333333333
8,ceiling,45,0.9333333333333333,1.0,0.06666666666666667,1.0,0.0,1.0,,42,0,0,3,0,0,0,0,0,5,9,0.7777777777777778,1.0,1.0,1.0,0.0,0.2222222222222222
8,floor,45,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.5,0.5,0.05263157894736842,0.0,1,1,0,2,33,3,0,5,0,5,9,0.0,0.17777777777777778,0.0,0.2,-0.08888888888888889,0.17777777777777778
8,informative,60,0.5666666666666667,0.8,0.23333333333333334,0.8823529411764706,0.11764705882352944,0.6956521739130435,0.6666666666666666,30,3,1,16,6,1,2,1,0,5,12,0.35,0.7833333333333333,0.6166666666666667,0.95,0.016666666666666666,0.45
12,ceiling,45,0.8666666666666667,1.0,0.13333333333333333,1.0,0.0,1.0,1.0,39,0,0,5,0,0,1,0,0,5,9,0.7111111111111111,0.9777777777777777,1.0,1.0,0.022222222222222223,0.28888888888888886
12,floor,45,0.044444444444444446,0.1111111111111111,0.06666666666666667,0.0,1.0,0.10256410256410256,0.25,0,2,0,4,31,4,1,3,0,5,9,0.0,0.17777777777777778,0.0,0.28888888888888886,-0.1111111111111111,0.28888888888888886
12,informative,60,0.6833333333333333,0.8333333333333334,0.15,0.926829268292683,0.07317073170731703,0.625,0.6666666666666666,38,3,0,10,5,1,2,1,0,5,12,0.5,0.85,0.6833333333333333,0.9666666666666667,-0.05,0.35
16,ceiling,9,0.7777777777777778,1.0,0.2222222222222222,1.0,0.0,1.0,,7,0,0,2,0,0,0,0,0,1,9,0.4444444444444444,1.0,1.0,1.0,0.0,0.5555555555555556
16,floor,9,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,7,0,0,2,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0
16,informative,12,0.3333333333333333,0.9166666666666666,0.5833333333333334,1.0,0.0,1.0,0.5,4,0,0,6,0,0,1,1,0,1,12,0.08333333333333333,0.5833333333333334,0.75,1.0,0.3333333333333333,0.8333333333333334
