graph_id,runs,initial_utility,final_utility,paired_delta,correct_preservation_C_to_C,correct_corruption_C_to_not_C,other_error_correction_O_to_C,unparsed_correction_U_to_C,count_C_to_C,count_C_to_O,count_C_to_U,count_O_to_C,count_O_to_O,count_O_to_U,count_U_to_C,count_U_to_O,count_U_to_U,edge_count,mean_model_calls,mean_backend_calls,mean_input_tokens,mean_output_tokens,mean_private_output_tokens,mean_public_output_tokens,mean_serial_generation_latency_seconds,length_turn_rate,private_length_turn_rate,summary_answer_mismatch_rate
g-n5-m4-020c02ee23fd10e6,30,0.5333333333333333,0.7333333333333333,0.2,1.0,0.0,0.46153846153846156,0.0,16,0,0,6,6,1,0,1,0,4,14.0,14.0,83229.7,52653.1,0.0,0.0,1642.0099500166873,0.02619047619047619,0.0,0.0
g-n5-m4-8ace11eb98f60ea5,30,0.6,0.6666666666666666,0.06666666666666667,0.8888888888888888,0.11111111111111116,0.36363636363636365,0.0,16,2,0,4,7,0,0,1,0,4,13.0,13.0,72510.6,49115.066666666666,0.0,0.0,1490.8379354735216,0.020512820512820513,0.0,0.0
g-n5-m4-c86f6be403cf7523,30,0.5333333333333333,0.7333333333333333,0.2,1.0,0.0,0.45454545454545453,0.3333333333333333,16,0,0,5,6,0,1,1,1,4,14.0,14.0,82341.9,51594.566666666666,0.0,0.0,1585.3558027796448,0.02619047619047619,0.0,0.0
g-n5-m4-e6b58e28f5d141e8,30,0.5666666666666667,0.7,0.13333333333333333,1.0,0.0,0.3,0.3333333333333333,17,0,0,3,7,0,1,1,1,4,12.0,12.0,73954.3,51002.46666666667,0.0,0.0,1556.8706768879047,0.05,0.0,0.0
g-n5-m4-fc174fd4cac969a2,30,0.4666666666666667,0.7666666666666667,0.3,1.0,0.0,0.6153846153846154,0.3333333333333333,14,0,0,8,5,0,1,2,0,4,16.0,16.0,95963.36666666667,59301.433333333334,0.0,0.0,1831.4552890125663,0.01875,0.0,0.0
g-n5-m8-098c132ef3277e03,30,0.5333333333333333,0.6,0.06666666666666667,0.9375,0.0625,0.25,0.0,15,0,1,3,9,0,0,2,0,8,13.0,13.0,99376.83333333333,50594.76666666667,0.0,0.0,1668.1559727292508,0.03076923076923077,0.0,0.0
g-n5-m8-7f3a9ce5d54de331,30,0.5333333333333333,0.6333333333333333,0.1,0.875,0.125,0.35714285714285715,,14,2,0,5,8,1,0,0,0,8,13.0,13.0,100621.33333333333,52386.433333333334,0.0,0.0,1637.9519935999065,0.041025641025641026,0.0,0.0
g-n5-m8-8cbea459f4a9f71d,30,0.43333333333333335,0.6333333333333333,0.2,1.0,0.0,0.38461538461538464,0.25,13,0,0,5,7,1,1,3,0,8,14.0,14.0,111749.83333333333,51460.86666666667,0.0,0.0,1666.8729704041034,0.023809523809523808,0.0,0.0
g-n5-m8-9970b4b974e58087,30,0.5333333333333333,0.7,0.16666666666666666,1.0,0.0,0.3076923076923077,1.0,16,0,0,4,7,2,1,0,0,8,12.0,12.0,78081.83333333333,45784.96666666667,0.0,0.0,1312.6564117278904,0.019444444444444445,0.0,0.0
g-n5-m8-d7ed48430d5f1b67,30,0.5666666666666667,0.6333333333333333,0.06666666666666667,0.8823529411764706,0.11764705882352944,0.3333333333333333,0.0,15,2,0,4,8,0,0,1,0,8,14.0,14.0,110479.56666666667,52220.53333333333,0.0,0.0,1623.490165223802,0.03333333333333333,0.0,0.0
g-n5-m12-245b8a7d712cb4a0,30,0.5333333333333333,0.6333333333333333,0.1,1.0,0.0,0.23076923076923078,0.0,16,0,0,3,9,1,0,1,0,12,15.0,15.0,152083.96666666667,51952.433333333334,0.0,0.0,1635.0100276054193,0.02,0.0,0.0
g-n5-m12-aa67d00fd87be761,30,0.5666666666666667,0.6666666666666666,0.1,0.8823529411764706,0.11764705882352944,0.3,0.6666666666666666,15,2,0,3,5,2,2,1,0,12,15.0,15.0,151082.7,53150.6,0.0,0.0,1681.96005946137,0.024444444444444446,0.0,0.0
g-n5-m12-b7994e50c3403f63,30,0.5333333333333333,0.6333333333333333,0.1,0.9375,0.0625,0.3076923076923077,0.0,15,1,0,4,8,1,0,1,0,12,16.0,16.0,157684.96666666667,56021.833333333336,0.0,0.0,1691.3236452560873,0.025,0.0,0.0
g-n5-m12-c2d302af32c23635,30,0.5666666666666667,0.6666666666666666,0.1,0.8823529411764706,0.11764705882352944,0.38461538461538464,,15,2,0,5,8,0,0,0,0,12,15.0,15.0,169165.83333333334,59059.0,0.0,0.0,1850.7838646552216,0.05333333333333334,0.0,0.0
g-n5-m12-e751609d27011f71,30,0.5333333333333333,0.7333333333333333,0.2,1.0,0.0,0.36363636363636365,0.6666666666666666,16,0,0,4,6,1,2,1,0,12,15.0,15.0,163641.63333333333,56695.666666666664,0.0,0.0,1770.6201551730435,0.04666666666666667,0.0,0.0
g-n5-m16-d8343258cfd33056,30,0.36666666666666664,0.6666666666666666,0.3,1.0,0.0,0.5333333333333333,0.25,11,0,0,8,7,0,1,3,0,16,16.0,16.0,195906.5,56135.76666666667,0.0,0.0,1760.3683235250414,0.035416666666666666,0.0,0.0
