run_spec_id,cohort,task_id,graph_id,edge_count,experiment_seed,initial_state,final_state,initial_correct,final_correct,paired_delta,model_calls,backend_calls,input_tokens,output_tokens,private_output_tokens,public_output_tokens,private_length_turns,private_parsed_turns,summary_answer_mismatch_turns,length_turns,unparsed_turns,audit_turns,summarization_turns,message_compression_turns,context_overflow_turns,context_truncation_turns,raw_broadcast_mismatch_messages,serial_generation_latency_seconds,external_round_zero_rate,difficulty_band
run-spec-3d862ea40116b252c139,full_rationale,2026_AIME_I_P01,g-n5-m4-020c02ee23fd10e6,4,0,O,C,0,1,1,14,14,25470,16344,0,0,0,0,0,0,0,14,0,0,0,0,0,246.574528940022,1.0,ceiling
run-spec-930460197000969e0f11,full_rationale,2026_AIME_I_P01,g-n5-m4-8ace11eb98f60ea5,4,0,C,C,1,1,0,13,13,27377,18974,0,0,0,0,0,0,0,13,0,0,0,0,0,284.76547510921955,1.0,ceiling
run-spec-c2f1584a35e886b59eeb,full_rationale,2026_AIME_I_P01,g-n5-m4-e6b58e28f5d141e8,4,0,C,C,1,1,0,12,12,20616,12867,0,0,0,0,0,0,0,12,0,0,0,0,0,188.1464521996677,1.0,ceiling
run-spec-52b0c579804e24a71dd7,full_rationale,2026_AIME_I_P01,g-n5-m8-d7ed48430d5f1b67,8,0,C,C,1,1,0,14,14,34403,17095,0,0,0,0,0,0,0,14,0,0,0,0,0,257.895092535764,1.0,ceiling
run-spec-505f08893b3b6064c517,full_rationale,2026_AIME_I_P01,g-n5-m8-7f3a9ce5d54de331,8,0,C,C,1,1,0,13,13,31491,16458,0,0,0,0,0,0,0,13,0,0,0,0,0,248.22730880603194,1.0,ceiling
run-spec-ed58a9d8744de403fc62,full_rationale,2026_AIME_I_P01,g-n5-m8-9970b4b974e58087,8,0,C,C,1,1,0,12,12,25193,13829,0,0,0,0,0,0,0,12,0,0,0,0,0,204.19801374524832,1.0,ceiling
run-spec-513812afdd3444dcb65a,full_rationale,2026_AIME_I_P01,g-n5-m12-e751609d27011f71,12,0,C,C,1,1,0,15,15,44857,15822,0,0,0,0,0,0,0,15,0,0,0,0,0,237.85395864024758,1.0,ceiling
run-spec-972a510955948ac49434,full_rationale,2026_AIME_I_P01,g-n5-m12-b7994e50c3403f63,12,0,C,C,1,1,0,16,16,47231,17267,0,0,0,0,0,0,0,16,0,0,0,0,0,260.368439540267,1.0,ceiling
run-spec-810c46f53251973518bb,full_rationale,2026_AIME_I_P01,g-n5-m12-c2d302af32c23635,12,0,C,C,1,1,0,15,15,57790,20500,0,0,0,0,0,0,0,15,0,0,0,0,0,308.91482750326395,1.0,ceiling
run-spec-152417347e28400d50f0,full_rationale,2026_AIME_I_P01,g-n5-m16-d8343258cfd33056,16,0,C,C,1,1,0,16,16,55031,17168,0,0,0,0,0,0,0,16,0,0,0,0,0,259.0625375248492,1.0,ceiling
run-spec-ed05c8458d7cb0952901,full_rationale,2026_AIME_I_P01,g-n5-m4-fc174fd4cac969a2,4,0,C,C,1,1,0,16,16,34740,20471,0,0,0,0,0,0,0,16,0,0,0,0,0,308.375937923789,1.0,ceiling
run-spec-745beb90630b12e645eb,full_rationale,2026_AIME_I_P01,g-n5-m4-c86f6be403cf7523,4,0,C,C,1,1,0,14,14,28007,16519,0,0,0,0,0,0,0,14,0,0,0,0,0,249.1287274695933,1.0,ceiling
