task_id,difficulty_band,external_round_zero_rate,runs,initial_utility,final_utility,paired_delta,correct_preservation_C_to_C,correct_corruption_C_to_not_C,other_error_correction_O_to_C,unparsed_correction_U_to_C,count_C_to_C,count_C_to_O,count_C_to_U,count_O_to_C,count_O_to_O,count_O_to_U,count_U_to_C,count_U_to_O,count_U_to_U
2026_AIME_II_P01,informative,0.6,16,0.6875,0.875,0.1875,0.9090909090909091,0.09090909090909094,0.8,,10,1,0,4,1,0,0,0,0
2026_AIME_II_P02,floor,0.1,16,0.0,0.125,0.125,,,0.25,0.0,0,0,0,2,5,1,0,7,1
2026_AIME_II_P03,informative,0.2,16,0.25,0.625,0.375,1.0,0.0,0.42857142857142855,0.6,4,0,0,3,3,1,3,2,0
2026_AIME_II_P04,informative,0.8,16,0.875,1.0,0.125,1.0,0.0,1.0,,14,0,0,2,0,0,0,0,0
2026_AIME_II_P05,ceiling,1.0,16,0.9375,1.0,0.0625,1.0,0.0,1.0,,15,0,0,1,0,0,0,0,0
2026_AIME_II_P06,informative,0.6,16,0.875,1.0,0.125,1.0,0.0,1.0,,14,0,0,2,0,0,0,0,0
2026_AIME_II_P07,ceiling,0.9,16,0.6875,1.0,0.3125,1.0,0.0,1.0,1.0,11,0,0,4,0,0,1,0,0
2026_AIME_II_P08,informative,0.2,16,0.3125,0.6875,0.375,0.6,0.4,0.8,0.0,3,1,1,8,2,0,0,1,0
2026_AIME_II_P09,ceiling,1.0,16,0.875,1.0,0.125,1.0,0.0,1.0,,14,0,0,2,0,0,0,0,0
2026_AIME_II_P10,ceiling,0.9,16,0.8125,1.0,0.1875,1.0,0.0,1.0,,13,0,0,3,0,0,0,0,0
2026_AIME_II_P11,informative,0.4,16,0.5625,0.9375,0.375,1.0,0.0,0.8333333333333334,1.0,9,0,0,5,1,0,1,0,0
2026_AIME_II_P12,informative,0.6,16,0.375,0.875,0.5,1.0,0.0,0.7777777777777778,1.0,6,0,0,7,1,1,1,0,0
2026_AIME_II_P13,floor,0.0,16,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,10,4,0,2,0
2026_AIME_II_P14,floor,0.0,16,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,13,0,0,3,0
2026_AIME_II_P15,floor,0.0,16,0.0,0.0,0.0,,,0.0,,0,0,0,0,15,1,0,0,0
2026_AIME_I_P01,ceiling,1.0,16,0.9375,1.0,0.0625,1.0,0.0,1.0,,15,0,0,1,0,0,0,0,0
2026_AIME_I_P02,informative,0.5,16,0.6875,0.8125,0.125,0.9090909090909091,0.09090909090909094,0.6,,10,1,0,3,2,0,0,0,0
2026_AIME_I_P03,informative,0.8,16,0.875,1.0,0.125,1.0,0.0,,1.0,14,0,0,0,0,0,2,0,0
2026_AIME_I_P04,informative,0.5,16,0.4375,0.875,0.4375,0.7142857142857143,0.2857142857142857,1.0,,5,2,0,9,0,0,0,0,0
2026_AIME_I_P05,ceiling,1.0,16,1.0,1.0,0.0,1.0,0.0,,,16,0,0,0,0,0,0,0,0
2026_AIME_I_P06,ceiling,1.0,16,1.0,1.0,0.0,1.0,0.0,,,16,0,0,0,0,0,0,0,0
2026_AIME_I_P07,ceiling,0.9,16,0.9375,1.0,0.0625,1.0,0.0,1.0,,15,0,0,1,0,0,0,0,0
2026_AIME_I_P08,ceiling,1.0,16,0.9375,1.0,0.0625,1.0,0.0,1.0,,15,0,0,1,0,0,0,0,0
2026_AIME_I_P09,floor,0.1,16,0.0625,0.25,0.1875,0.0,1.0,0.21428571428571427,1.0,0,1,0,3,11,0,1,0,0
2026_AIME_I_P10,floor,0.0,16,0.0,0.0,0.0,,,0.0,,0,0,0,0,16,0,0,0,0
2026_AIME_I_P11,informative,0.4,16,0.5,0.75,0.25,0.75,0.25,0.8571428571428571,0.0,6,2,0,6,1,0,0,1,0
2026_AIME_I_P12,informative,0.8,16,0.9375,0.9375,0.0,0.9333333333333333,0.06666666666666665,,1.0,14,1,0,0,0,0,1,0,0
2026_AIME_I_P13,floor,0.1,16,0.1875,0.5,0.3125,0.3333333333333333,0.6666666666666667,0.5384615384615384,,1,2,0,7,6,0,0,0,0
2026_AIME_I_P14,floor,0.0,16,0.0,0.0,0.0,,,0.0,,0,0,0,0,15,1,0,0,0
2026_AIME_I_P15,floor,0.0,16,0.0,0.0,0.0,,,0.0,0.0,0,0,0,0,11,1,0,3,1
