condition,law,initialization,rollout_mode,n,outcome,graphs,graph_mae,graph_spearman
attack,attack_specific,correlated_empirical,particle,5,correct,61,0.02274193935706966,0.49645805226770007
attack,attack_specific,correlated_empirical,particle,5,target,61,0.016408611360143443,0.3590392470291021
attack,attack_specific,correlated_empirical,particle,8,correct,71,0.016199678539989944,0.34114397202989327
attack,attack_specific,correlated_empirical,particle,8,target,71,0.01184644979250503,0.27895195732699013
attack,attack_specific,oracle,mean_field,5,correct,61,0.0235728693620815,0.7151136154896958
attack,attack_specific,oracle,mean_field,5,target,61,0.01756497055074333,0.40815360720389054
attack,attack_specific,oracle,mean_field,8,correct,71,0.018149682981116237,0.5902961398744818
attack,attack_specific,oracle,mean_field,8,target,71,0.014031664125356802,0.27158271507382276
attack,pooled_balanced,correlated_empirical,particle,5,correct,61,0.023230380699282765,0.49931871863087096
attack,pooled_balanced,correlated_empirical,particle,5,target,61,0.018366138896004094,0.3601011791409894
attack,pooled_balanced,correlated_empirical,particle,8,correct,71,0.016696959098340045,0.29156211956412376
attack,pooled_balanced,correlated_empirical,particle,8,target,71,0.01374893894617706,0.2773162216323511
attack,pooled_balanced,oracle,mean_field,5,correct,61,0.024110266707817216,0.7140276217777511
attack,pooled_balanced,oracle,mean_field,5,target,61,0.019862485163519464,0.4143393617556342
attack,pooled_balanced,oracle,mean_field,8,correct,71,0.018532420007326744,0.498371519771109
attack,pooled_balanced,oracle,mean_field,8,target,71,0.016454011312647617,0.2575524872600121
clean,clean_specific,correlated_empirical,particle,5,correct,61,0.02953125000000002,0.24586194917936585
clean,clean_specific,correlated_empirical,particle,5,target,61,0.0,
clean,clean_specific,correlated_empirical,particle,8,correct,71,0.02334383252640847,0.4222111099558141
clean,clean_specific,correlated_empirical,particle,8,target,71,0.0,
clean,clean_specific,oracle,mean_field,5,correct,61,0.02821634422816085,0.42455611850007147
clean,clean_specific,oracle,mean_field,5,target,61,0.0,
clean,clean_specific,oracle,mean_field,8,correct,71,0.021635687872493713,0.4653880996540212
clean,clean_specific,oracle,mean_field,8,target,71,0.0,
clean,degroot_equal,oracle,mean_field,5,correct,61,0.03892951730418942,0.3322380931870262
clean,degroot_equal,oracle,mean_field,5,target,61,0.0,
clean,degroot_equal,oracle,mean_field,8,correct,71,0.0631489312081864,0.06477403444626074
clean,degroot_equal,oracle,mean_field,8,target,71,0.0,
clean,persistence,oracle,mean_field,5,correct,61,0.048852459016393436,0.027920209489335004
clean,persistence,oracle,mean_field,5,target,61,0.0,
clean,persistence,oracle,mean_field,8,correct,71,0.05605633802816902,0.07268814467442124
clean,persistence,oracle,mean_field,8,target,71,0.0,
clean,pooled_balanced,correlated_empirical,particle,5,correct,61,0.030295210040983615,0.2757202519577168
clean,pooled_balanced,correlated_empirical,particle,5,target,61,0.0008556928790983609,
clean,pooled_balanced,correlated_empirical,particle,8,correct,71,0.024442534110915515,0.31974912093733626
clean,pooled_balanced,correlated_empirical,particle,8,target,71,0.0007233439700704225,
clean,pooled_balanced,oracle,mean_field,5,correct,61,0.02941707131169552,0.4354648521004204
clean,pooled_balanced,oracle,mean_field,5,target,61,0.0008006113436591219,
clean,pooled_balanced,oracle,mean_field,8,correct,71,0.021353642727397627,0.46504610369601557
clean,pooled_balanced,oracle,mean_field,8,target,71,0.0007190685674063431,
