condition,law,support_scope,metric,estimate,ci95_low,ci95_high,tasks
attack,attack_specific,all,multiclass_brier,0.1866076625848972,0.15648608292598162,0.21868420836512906,50
attack,attack_specific,all,multiclass_log_loss,0.3869926791045373,0.33174604761237736,0.4463664606344123,50
attack,attack_specific,all,correct_brier,0.07745523992371277,0.06591641442427934,0.08968032903518654,50
attack,attack_specific,all,correct_log_loss,0.2674063524867464,0.23420140219439747,0.302971357362469,50
attack,attack_specific,all,target_brier,0.030320276823736867,0.022170122999724495,0.03933064274702154,50
attack,attack_specific,all,target_log_loss,0.12023387332060524,0.09175621577754148,0.15192359120933696,50
attack,attack_specific,shared_cell,multiclass_brier,0.12398229419280252,0.09706835854509056,0.1527124788388591,50
attack,attack_specific,shared_cell,multiclass_log_loss,0.2583120502354002,0.21030861970436474,0.3095280766341954,50
attack,attack_specific,shared_cell,correct_brier,0.05067887193498247,0.04032289066157374,0.06170840626298772,50
attack,attack_specific,shared_cell,correct_log_loss,0.18411073054264215,0.1542660850517053,0.21585327737508353,50
attack,attack_specific,shared_cell,target_brier,0.0009845603877236871,0.0004593667827216575,0.0016731295183896693,50
attack,attack_specific,shared_cell,target_log_loss,0.009013917759367376,0.006150429389274091,0.012778198429529706,50
attack,clean_specific,all,multiclass_brier,0.20663325991596632,0.17068769920876833,0.24530782739958348,50
attack,clean_specific,all,multiclass_log_loss,0.8459434378953894,0.6651968726603069,1.057533772354126,50
attack,clean_specific,all,correct_brier,0.08390371736876755,0.07036407620111458,0.09883825626024215,50
attack,clean_specific,all,correct_log_loss,0.29580481659508534,0.25345535988602774,0.34300370238956857,50
attack,clean_specific,all,target_brier,0.041517223910840936,0.029346187943262405,0.055856319655521756,50
attack,clean_specific,all,target_log_loss,0.5735826244536455,0.40543355853981655,0.7716845413274268,50
attack,clean_specific,shared_cell,multiclass_brier,0.12336934545975016,0.09685761537745653,0.1517787328402251,50
attack,clean_specific,shared_cell,multiclass_log_loss,0.2604520095312072,0.21208941307302642,0.31179488488700663,50
attack,clean_specific,shared_cell,correct_brier,0.050400327993562054,0.04000393750036961,0.061381125762587606,50
attack,clean_specific,shared_cell,correct_log_loss,0.18271634654805305,0.1523216650665202,0.21472909946585547,50
attack,clean_specific,shared_cell,target_brier,0.0009711182928051611,0.00043783359155602904,0.0016692361381094199,50
attack,clean_specific,shared_cell,target_log_loss,0.013417507508995286,0.006049907526541421,0.02306236139804684,50
attack,pooled_balanced,all,multiclass_brier,0.1870911304921737,0.15663961277411068,0.21895601055224903,50
attack,pooled_balanced,all,multiclass_log_loss,0.3878363905613251,0.3315669205336277,0.44743383653359464,50
attack,pooled_balanced,all,correct_brier,0.07771527238003631,0.06610847407578845,0.0899941395684588,50
attack,pooled_balanced,all,correct_log_loss,0.26858115133452126,0.23480964356878953,0.3047977511300464,50
attack,pooled_balanced,all,target_brier,0.030533243179045065,0.022402019231532348,0.03965018382337985,50
attack,pooled_balanced,all,target_log_loss,0.12085183770503782,0.09176691058979665,0.1538413971914632,50
attack,pooled_balanced,shared_cell,multiclass_brier,0.12364061123429528,0.0970817903632444,0.15213712297735538,50
attack,pooled_balanced,shared_cell,multiclass_log_loss,0.2559423320072728,0.20896974591802514,0.30610756720886223,50
attack,pooled_balanced,shared_cell,correct_brier,0.050552293240526555,0.04046881822425382,0.061620221332938215,50
attack,pooled_balanced,shared_cell,correct_log_loss,0.18337637469709825,0.15417808602543348,0.21538325465255068,50
attack,pooled_balanced,shared_cell,target_brier,0.0009740170342054691,0.00044228166375749335,0.0016652347850696304,50
attack,pooled_balanced,shared_cell,target_log_loss,0.008046153573909653,0.004950855989081581,0.012042056466070164,50
clean,attack_specific,all,multiclass_brier,0.11210210669012471,0.0851391533894139,0.1406446822454781,50
clean,attack_specific,all,multiclass_log_loss,0.23181446007896309,0.18305715872970915,0.2834566417705395,50
clean,attack_specific,all,correct_brier,0.04598352382984427,0.03512055370918946,0.05758206218191035,50
clean,attack_specific,all,correct_log_loss,0.16696967646068533,0.13488374089921187,0.2010026346034341,50
clean,attack_specific,all,target_brier,1.8834722282771383e-05,1.5046369867149315e-05,2.315518295589997e-05,50
clean,attack_specific,all,target_log_loss,0.0032047368014945505,0.0028703945098521888,0.0035542126588697337,50
clean,attack_specific,shared_cell,multiclass_brier,0.11110033257310514,0.08439110742680467,0.1394182711803473,50
clean,attack_specific,shared_cell,multiclass_log_loss,0.23034411769669266,0.18208326080387532,0.2807862836812666,50
clean,attack_specific,shared_cell,correct_brier,0.04558685007113725,0.03488323598225226,0.05702374494017115,50
clean,attack_specific,shared_cell,correct_log_loss,0.16590353677186895,0.13427903611369452,0.19981586293488107,50
clean,attack_specific,shared_cell,target_brier,1.8789813048216032e-05,1.5053472617542581e-05,2.296109802523881e-05,50
clean,attack_specific,shared_cell,target_log_loss,0.0032060971957250974,0.002878948196208151,0.0035551468045597226,50
clean,clean_specific,all,multiclass_brier,0.11176291968707402,0.08560575257824721,0.1401479776990879,50
clean,clean_specific,all,multiclass_log_loss,0.22674221152567792,0.1800449602537933,0.27666980190496204,50
clean,clean_specific,all,correct_brier,0.045926971570459114,0.03527087541059228,0.05763230792472981,50
clean,clean_specific,all,correct_log_loss,0.16666105863088393,0.13455679081115468,0.20147558292416606,50
clean,clean_specific,all,target_brier,0.0,0.0,0.0,50
clean,clean_specific,all,target_log_loss,1.0132794159289915e-06,1.0132794159289915e-06,1.0132794159289915e-06,50
clean,clean_specific,shared_cell,multiclass_brier,0.11071088232745659,0.08420881177874001,0.13877963192743883,50
clean,clean_specific,shared_cell,multiclass_log_loss,0.22521150083704658,0.17810625258255072,0.27431699680313526,50
clean,clean_specific,shared_cell,correct_brier,0.04552636338174515,0.03453192776755051,0.05689022968236549,50
clean,clean_specific,shared_cell,correct_log_loss,0.16558076576923786,0.1323809140883061,0.19967190618902347,50
clean,clean_specific,shared_cell,target_brier,0.0,0.0,0.0,50
clean,clean_specific,shared_cell,target_log_loss,1.0132794159289915e-06,1.0132794159289915e-06,1.0132794159289915e-06,50
clean,pooled_balanced,all,multiclass_brier,0.11184759110124622,0.0845182544184725,0.14065630884176314,50
clean,pooled_balanced,all,multiclass_log_loss,0.2291473256566299,0.18052355899419767,0.2807489413066811,50
clean,pooled_balanced,all,correct_brier,0.045933668954802574,0.03508271480626885,0.057712303734456655,50
