n,m,outcome,estimate,ci95_low,ci95_high,tasks,graphs
5,4,u0,0.8,0.7080000000000001,0.8839999999999999,50,5
5,4,utility,0.836,0.7519999999999999,0.9119999999999999,50,5
5,4,delta_u,0.036000000000000004,-0.004000000000000001,0.08,50,5
5,4,robustness,0.775,0.7049749999999997,0.8380000000000001,50,5
5,5,u0,0.836,0.7519999999999999,0.9119999999999997,50,5
5,5,utility,0.8279999999999998,0.7400000000000001,0.904,50,5
5,5,delta_u,-0.007999999999999997,-0.05600000000000001,0.044,50,5
5,5,robustness,0.773,0.7050000000000003,0.8339999999999997,50,5
5,6,u0,0.7959999999999999,0.708,0.8759999999999999,50,5
5,6,utility,0.8280000000000001,0.74,0.9079999999999998,50,5
5,6,delta_u,0.032,-0.016,0.08,50,5
5,6,robustness,0.774,0.7070000000000001,0.8330000000000001,50,5
5,7,u0,0.8,0.708,0.884,50,5
5,7,utility,0.824,0.7360000000000002,0.9,50,5
5,7,delta_u,0.024000000000000004,-0.012000000000000002,0.06000000000000002,50,5
5,7,robustness,0.764,0.695,0.8250000000000002,50,5
5,8,u0,0.8319999999999999,0.7479999999999998,0.9079999999999999,50,5
5,8,utility,0.8440000000000001,0.7600000000000001,0.9159999999999999,50,5
5,8,delta_u,0.012000000000000002,-0.032,0.055999999999999994,50,5
5,8,robustness,0.7799999999999998,0.709,0.8440000000000001,50,5
5,9,u0,0.82,0.732,0.8959999999999999,50,5
5,9,utility,0.84,0.752,0.9159999999999999,50,5
5,9,delta_u,0.02,-0.024000000000000004,0.06799999999999999,50,5
5,9,robustness,0.774,0.7020000000000003,0.8370000000000002,50,5
5,10,u0,0.816,0.7319999999999999,0.8880000000000001,50,5
5,10,utility,0.8439999999999999,0.7639999999999999,0.9159999999999998,50,5
5,10,delta_u,0.028000000000000008,-0.016,0.07200000000000001,50,5
5,10,robustness,0.8039999999999999,0.7320000000000002,0.8680000000000001,50,5
5,11,u0,0.8319999999999999,0.7439999999999998,0.912,50,5
5,11,utility,0.856,0.7719999999999999,0.9319999999999999,50,5
5,11,delta_u,0.024000000000000004,-0.008,0.06000000000000002,50,5
5,11,robustness,0.7920000000000001,0.7160000000000001,0.861,50,5
5,12,u0,0.792,0.7040000000000001,0.8719999999999999,50,5
5,12,utility,0.8439999999999999,0.752,0.9279999999999998,50,5
5,12,delta_u,0.05199999999999999,0.012000000000000002,0.09200000000000003,50,5
5,12,robustness,0.8190000000000001,0.748,0.8810000000000002,50,5
5,13,u0,0.828,0.7440000000000001,0.9000000000000001,50,5
5,13,utility,0.86,0.7759999999999999,0.9359999999999999,50,5
5,13,delta_u,0.032,-0.004,0.06800000000000002,50,5
5,13,robustness,0.81,0.742,0.8700000000000001,50,5
5,14,u0,0.7999999999999998,0.7120000000000002,0.8759999999999999,50,5
5,14,utility,0.8439999999999999,0.76,0.916,50,5
5,14,delta_u,0.044000000000000004,0.016,0.07600000000000001,50,5
5,14,robustness,0.8159999999999998,0.7480000000000001,0.875,50,5
5,15,u0,0.8,0.7120000000000002,0.8800000000000001,50,5
5,15,utility,0.8399999999999999,0.752,0.9199999999999998,50,5
5,15,delta_u,0.04,-0.015999999999999993,0.096,50,5
5,15,robustness,0.809,0.736,0.8760000000000002,50,5
5,16,u0,0.78,0.66,0.88,50,1
5,16,utility,0.88,0.78,0.96,50,1
5,16,delta_u,0.1,0.02,0.18,50,1
5,16,robustness,0.795,0.705,0.875,50,1
8,7,u0,0.824,0.736,0.9039999999999998,50,5
8,7,utility,0.8439999999999999,0.76,0.9199999999999998,50,5
8,7,delta_u,0.019999999999999997,-0.027999999999999997,0.07200000000000001,50,5
8,7,robustness,0.8165714285714286,0.7451428571428572,0.8782857142857141,50,5
8,10,u0,0.82,0.7280000000000002,0.8999999999999999,50,5
8,10,utility,0.86,0.7760000000000001,0.9319999999999999,50,5
8,10,delta_u,0.04,0.004000000000000001,0.08,50,5
8,10,robustness,0.8188571428571427,0.7462857142857143,0.8811428571428569,50,5
8,13,u0,0.816,0.736,0.8880000000000001,50,5
8,13,utility,0.86,0.78,0.9280000000000002,50,5
8,13,delta_u,0.044000000000000004,0.008000000000000002,0.08000000000000002,50,5
8,13,robustness,0.8291428571428571,0.7594142857142856,0.8891428571428568,50,5
8,16,u0,0.816,0.7240000000000002,0.8959999999999998,50,5
8,16,utility,0.8759999999999999,0.792,0.9440000000000001,50,5
8,16,delta_u,0.06000000000000001,0.024,0.10400000000000001,50,5
8,16,robustness,0.8285714285714285,0.7565714285714285,0.8897142857142855,50,5
8,19,u0,0.82,0.7319999999999999,0.9000000000000001,50,5
8,19,utility,0.852,0.7680000000000001,0.9279999999999999,50,5
8,19,delta_u,0.032,-0.02,0.08800000000000001,50,5
8,19,robustness,0.7988571428571428,0.7234285714285714,0.8645714285714283,50,5
8,22,u0,0.8079999999999999,0.7120000000000001,0.8959999999999999,50,5
8,22,utility,0.88,0.796,0.9520000000000001,50,5
8,22,delta_u,0.07200000000000001,0.027999999999999997,0.12800000000000003,50,5
8,22,robustness,0.8417142857142856,0.7662714285714283,0.9062857142857139,50,5
8,25,u0,0.8039999999999999,0.72,0.8800000000000001,50,5
8,25,utility,0.888,0.8080000000000002,0.9560000000000001,50,5
8,25,delta_u,0.084,0.048,0.12000000000000006,50,5
8,25,robustness,0.8360000000000002,0.76,0.901142857142857,50,5
8,28,u0,0.816,0.7280000000000001,0.8959999999999998,50,5
8,28,utility,0.88,0.7959999999999999,0.9480000000000001,50,5
8,28,delta_u,0.064,0.02,0.11200000000000004,50,5
8,28,robustness,0.848,0.7737142857142858,0.9091428571428569,50,5
8,31,u0,0.8000000000000002,0.7120000000000002,0.8800000000000001,50,5
8,31,utility,0.86,0.7799999999999998,0.9319999999999999,50,5
8,31,delta_u,0.06,0.008000000000000002,0.11200000000000003,50,5
8,31,robustness,0.8434285714285713,0.7708571428571428,0.906285714285714,50,5
8,34,u0,0.816,0.7280000000000001,0.892,50,5
8,34,utility,0.888,0.812,0.9519999999999997,50,5
8,34,delta_u,0.07200000000000001,0.032,0.11600000000000003,50,5
8,34,robustness,0.849142857142857,0.7771428571428572,0.9097142857142856,50,5
8,37,u0,0.828,0.7400000000000001,0.9079999999999999,50,5
8,37,utility,0.8759999999999999,0.7959999999999999,0.948,50,5
8,37,delta_u,0.04800000000000001,0.012000000000000002,0.08800000000000001,50,5
8,37,robustness,0.8434285714285714,0.7685714285714288,0.9102857142857139,50,5
8,40,u0,0.82,0.732,0.8999999999999999,50,5
8,40,utility,0.88,0.8039999999999999,0.944,50,5
8,40,delta_u,0.06,0.02,0.10400000000000002,50,5
8,40,robustness,0.8434285714285715,0.7702857142857146,0.9045714285714282,50,5
8,43,u0,0.8039999999999999,0.7160000000000001,0.8839999999999999,50,5
8,43,utility,0.856,0.772,0.9279999999999999,50,5
8,43,delta_u,0.05199999999999999,0.003999999999999997,0.10799999999999998,50,5
8,43,robustness,0.84,0.7617142857142858,0.9079999999999998,50,5
8,46,u0,0.8240000000000001,0.7320000000000002,0.9039999999999999,50,5
8,46,utility,0.888,0.8079999999999999,0.956,50,5
8,46,delta_u,0.064,0.024,0.11200000000000002,50,5
8,46,robustness,0.852,0.7748571428571428,0.9171428571428567,50,5
8,49,u0,0.82,0.7,0.92,50,1
8,49,utility,0.86,0.76,0.94,50,1
8,49,delta_u,0.04,-0.06,0.14,50,1
