n,m,graphs,observed_u0,predicted_u0,observed_utility,predicted_utility,observed_robustness,predicted_robustness,observed_delta_u,predicted_delta_u
5,4,5,0.8,0.8089160156249999,0.836,0.84603125,0.775,0.79522021484375,0.03600000000000003,0.03711523437499997
5,5,5,0.836,0.8094609375000001,0.828,0.85046484375,0.773,0.79994091796875,-0.00800000000000003,0.041003906249999965
5,6,5,0.796,0.807078125,0.828,0.8417656250000001,0.774,0.77089013671875,0.03200000000000001,0.03468749999999998
5,7,5,0.8,0.80657421875,0.8240000000000001,0.8468710937499999,0.764,0.7996142578125,0.023999999999999976,0.04029687499999997
5,8,5,0.8320000000000001,0.8046093750000001,0.844,0.8477675781249999,0.78,0.79313525390625,0.01200000000000001,0.04315820312499996
5,9,5,0.82,0.80826953125,0.8400000000000001,0.8481992187499999,0.774,0.78068505859375,0.019999999999999997,0.03992968750000001
5,10,5,0.8160000000000001,0.8077421875,0.844,0.859375,0.8039999999999999,0.81416650390625,0.02799999999999996,0.0516328125
5,11,5,0.8320000000000001,0.8072890625,0.8560000000000001,0.8592753906249999,0.792,0.81102392578125,0.02400000000000002,0.051986328125000016
5,12,5,0.792,0.80946875,0.844,0.8601445312499999,0.819,0.81809765625,0.052000000000000005,0.05067578125000001
5,13,5,0.828,0.806232421875,0.86,0.8634707031250001,0.8099999999999999,0.8114174804687501,0.03200000000000003,0.05723828124999999
5,14,5,0.8,0.8088906250000001,0.844,0.86317578125,0.8160000000000001,0.82072412109375,0.044,0.054285156249999966
5,15,5,0.8,0.8090800781249999,0.8400000000000001,0.8653906250000001,0.8089999999999999,0.8208393554687501,0.039999999999999994,0.05631054687499999
5,16,1,0.78,0.797822265625,0.88,0.862275390625,0.795,0.81811767578125,0.09999999999999998,0.064453125
8,7,5,0.8240000000000001,0.8114785156250001,0.844,0.85672265625,0.8165714285714285,0.8397859933035715,0.019999999999999973,0.045244140625
8,10,5,0.82,0.8109453125,0.86,0.863462890625,0.8188571428571428,0.84401171875,0.039999999999999994,0.052517578125
8,13,5,0.8160000000000001,0.807283203125,0.86,0.86082421875,0.8291428571428572,0.8382017299107142,0.04400000000000002,0.053541015625
8,16,5,0.8160000000000001,0.8081093749999999,0.876,0.86773828125,0.8285714285714286,0.8508761160714287,0.06000000000000001,0.05962890625000004
8,19,5,0.82,0.805720703125,0.852,0.856943359375,0.7988571428571428,0.8352084263392857,0.03199999999999999,0.05122265625000002
8,22,5,0.808,0.8057402343749999,0.8800000000000001,0.8664902343750001,0.8417142857142856,0.8493130580357142,0.07200000000000002,0.06075000000000004
8,25,5,0.8039999999999999,0.8092148437500001,0.8879999999999999,0.8710703125,0.836,0.8506046316964285,0.08399999999999999,0.06185546875000001
8,28,5,0.8160000000000001,0.808921875,0.8800000000000001,0.87137890625,0.8480000000000001,0.8541880580357143,0.06399999999999999,0.06245703125000002
8,31,5,0.8,0.8112890625,0.86,0.8718242187499999,0.8434285714285714,0.8520887276785715,0.059999999999999984,0.06053515625000001
8,34,5,0.8160000000000001,0.804921875,0.8880000000000001,0.8743359375,0.8491428571428571,0.8498635602678573,0.072,0.06941406250000001
8,37,5,0.828,0.808123046875,0.876,0.874115234375,0.8434285714285714,0.8537820870535715,0.048,0.06599218749999998
8,40,5,0.82,0.8073203124999999,0.8800000000000001,0.8739980468749999,0.8434285714285714,0.8486143973214286,0.059999999999999984,0.06667773437500005
8,43,5,0.8039999999999999,0.803767578125,0.8560000000000001,0.8725273437500001,0.8400000000000001,0.8473376116071428,0.052000000000000005,0.06875976562499997
8,46,5,0.8240000000000001,0.8065625000000001,0.8880000000000001,0.87702734375,0.852,0.8425362723214287,0.06400000000000003,0.07046484374999999
8,49,1,0.82,0.801484375,0.86,0.8725390625,0.8628571428571429,0.8348953683035715,0.040000000000000036,0.07105468749999999
