graph_id,n,m,observed_u0,predicted_u0,observed_utility,predicted_utility,observed_robustness,predicted_robustness,observed_delta_u,predicted_delta_u,observed_pareto,predicted_pareto
g-n5-m5-5b7d0c8509496de9,5,5,0.86,0.810263671875,0.8,0.8390234375,0.74,0.76548828125,-0.0599999999999999,0.0287597656249999,False,False
g-n5-m5-779acebb84967afa,5,5,0.88,0.80595703125,0.84,0.851044921875,0.775,0.81840576171875,-0.04,0.045087890625,False,False
g-n5-m8-7643269917e0d825,5,8,0.84,0.806953125,0.84,0.85841796875,0.825,0.81698486328125,0.0,0.0514648437499999,False,False
g-n5-m11-66dbf4862ddeebff,5,11,0.84,0.8053125,0.9,0.862509765625,0.83,0.815791015625,0.06,0.057197265625,True,False
g-n5-m13-cf3c97954e28fcb2,5,13,0.84,0.806689453125,0.88,0.862294921875,0.795,0.8121337890625,0.04,0.05560546875,False,False
g-n5-m14-923f9fee75be9295,5,14,0.8,0.81138671875,0.88,0.859638671875,0.855,0.8226806640625,0.0799999999999999,0.0482519531249999,True,False
g-n5-m14-387ca779c261f4ac,5,14,0.78,0.81125,0.78,0.869404296875,0.795,0.8214306640625,0.0,0.0581542968749999,False,True
g-n5-m15-866817b9ce1d8d7a,5,15,0.82,0.8111328125,0.86,0.868837890625,0.805,0.8218017578125,0.04,0.057705078125,False,False
g-n5-m16-d8343258cfd33056,5,16,0.78,0.797822265625,0.88,0.862275390625,0.795,0.81811767578125,0.0999999999999999,0.064453125,False,False
g-n8-m7-6eaa43710eb8d468,8,7,0.86,0.80822265625,0.9,0.8542578125,0.8542857142857143,0.8388853236607143,0.04,0.0460351562499999,False,False
g-n8-m7-231ab40eaf680092,8,7,0.8,0.810888671875,0.82,0.849736328125,0.8142857142857143,0.8354506138392858,0.0199999999999999,0.0388476562499999,False,False
g-n8-m10-9bc426b99b99e22f,8,10,0.84,0.81064453125,0.84,0.8634375,0.8057142857142857,0.8475655691964286,0.0,0.0527929687499999,False,False
g-n8-m13-db44712af15b67d4,8,13,0.76,0.804013671875,0.86,0.854111328125,0.8371428571428572,0.8345131138392857,0.0999999999999999,0.05009765625,False,False
g-n8-m13-58e7aa41048857f9,8,13,0.82,0.80390625,0.84,0.859365234375,0.8085714285714286,0.8368610491071429,0.02,0.0554589843749999,False,False
g-n8-m13-9e4026c8500cddda,8,13,0.82,0.811884765625,0.84,0.8591796875,0.8371428571428572,0.8325920758928571,0.02,0.0472949218749999,False,False
g-n8-m16-ac10865896dee509,8,16,0.84,0.807119140625,0.88,0.856298828125,0.8,0.8404045758928571,0.04,0.0491796875,False,False
g-n8-m16-49f0d4f9ced83911,8,16,0.84,0.80935546875,0.9,0.869384765625,0.84,0.8509584263392858,0.06,0.060029296875,False,False
g-n8-m28-393193eed5faf701,8,28,0.86,0.80392578125,0.88,0.867626953125,0.8542857142857143,0.8536788504464285,0.02,0.063701171875,False,False
g-n8-m28-50f6a6e5c9321085,8,28,0.78,0.809208984375,0.9,0.871298828125,0.8485714285714285,0.8541950334821429,0.12,0.06208984375,False,False
g-n8-m28-d7b8f37cd9129fea,8,28,0.86,0.80796875,0.84,0.86921875,0.8457142857142858,0.8513267299107142,-0.02,0.06125,False,False
g-n8-m31-ae4c54ddec43d6dc,8,31,0.76,0.812734375,0.86,0.859462890625,0.82,0.8387709263392857,0.0999999999999999,0.046728515625,False,False
g-n8-m34-ba745a5f58c6e08e,8,34,0.86,0.807353515625,0.9,0.873232421875,0.8657142857142858,0.85212890625,0.04,0.06587890625,True,False
g-n8-m34-1f6d3f4d5f66e63c,8,34,0.78,0.81103515625,0.86,0.878017578125,0.8428571428571429,0.8497307477678572,0.0799999999999999,0.066982421875,False,False
g-n5-m4-beae382a05732391,5,4,0.82,0.817763671875,0.86,0.849716796875,0.775,0.8199462890625,0.04,0.031953125,False,False
g-n5-m6-78eee45678c05adb,5,6,0.76,0.80912109375,0.86,0.842783203125,0.77,0.76600830078125,0.0999999999999999,0.033662109375,False,False
g-n5-m6-dfdaf78325e3b636,5,6,0.84,0.805029296875,0.78,0.8374609375,0.73,0.769716796875,-0.0599999999999999,0.0324316406249999,False,False
g-n5-m7-e21d6d74948c47d9,5,7,0.78,0.808076171875,0.86,0.856591796875,0.73,0.78246826171875,0.0799999999999999,0.0485156249999999,False,False
g-n5-m7-c937819c959e8509,5,7,0.86,0.808671875,0.84,0.847646484375,0.77,0.8215673828125,-0.02,0.0389746093749999,False,False
g-n5-m8-b13f080b738bae4b,5,8,0.8,0.801767578125,0.9,0.850859375,0.77,0.7865966796875,0.0999999999999999,0.0490917968749999,False,False
g-n5-m8-120df83a63fd65be,5,8,0.86,0.80548828125,0.8,0.848623046875,0.795,0.7900439453125,-0.0599999999999999,0.0431347656249999,False,False
g-n5-m8-94227c5f28be4ff6,5,8,0.84,0.8006640625,0.82,0.8315625,0.735,0.755537109375,-0.02,0.0308984374999999,False,False
g-n5-m9-fb3579aa39c68e67,5,9,0.82,0.80466796875,0.86,0.85185546875,0.835,0.80867919921875,0.04,0.0471874999999999,False,False
g-n5-m9-712ad2ef95811b50,5,9,0.8,0.810107421875,0.8,0.842958984375,0.735,0.75454833984375,0.0,0.0328515625000001,False,False
g-n5-m10-b51fc3cfb377dd32,5,10,0.8,0.807138671875,0.82,0.85826171875,0.815,0.82263671875,0.0199999999999999,0.051123046875,False,False
g-n5-m10-f1111dee382a27d6,5,10,0.8,0.805751953125,0.82,0.86119140625,0.815,0.82223876953125,0.0199999999999999,0.0554394531249999,False,False
