threshold_scheme,evaluation_n,calibration_n,first_band,second_band,metric,observed_difference,ci95_low,ci95_high
primary_aime_aligned,5,8,intermediate,floor,delta_u,0.11666666666666667,0.07267759562841529,0.16366120218579233
primary_aime_aligned,5,8,intermediate,floor,wrong_correction_notC0_to_C3,0.5753597576369603,0.4708455552196505,0.7058358742016114
primary_aime_aligned,5,8,intermediate,floor,correct_corruption_C0_to_notC3,-0.596282311937264,-0.8720027303754266,-0.19818989496408845
primary_aime_aligned,5,8,intermediate,ceiling,delta_u,0.0930019390093425,0.0523532522474881,0.13576590869028732
primary_aime_aligned,5,8,intermediate,ceiling,wrong_correction_notC0_to_C3,-0.2549019607843137,-0.4108824163775905,-0.08444289044289068
primary_aime_aligned,5,8,intermediate,ceiling,correct_corruption_C0_to_notC3,0.11088171968328936,0.07267831008285974,0.1572968277806052
primary_aime_aligned,8,5,intermediate,floor,delta_u,0.12406793703396851,0.07332228666114333,0.17129763877381893
primary_aime_aligned,8,5,intermediate,floor,wrong_correction_notC0_to_C3,0.6875615359369872,0.5842702589175045,0.8059545334083928
primary_aime_aligned,8,5,intermediate,floor,correct_corruption_C0_to_notC3,-0.7682283074892774,-0.933407143445662,-0.40880159038685826
primary_aime_aligned,8,5,intermediate,ceiling,delta_u,0.1324457903608262,0.0861354741022198,0.1767284232780047
primary_aime_aligned,8,5,intermediate,ceiling,wrong_correction_notC0_to_C3,-0.21867321867321865,-0.3347189081947077,-0.08766046499173669
primary_aime_aligned,8,5,intermediate,ceiling,correct_corruption_C0_to_notC3,0.08100159218572606,0.05014012110253008,0.11802950301465227
sensitivity_wide_extremes,5,8,intermediate,floor,delta_u,0.13822652757078988,0.0886736214605067,0.18964232488822652
sensitivity_wide_extremes,5,8,intermediate,floor,wrong_correction_notC0_to_C3,0.5539260829525117,0.4408198632120661,0.7000993257553398
sensitivity_wide_extremes,5,8,intermediate,floor,correct_corruption_C0_to_notC3,-0.5834048027444254,-0.8632191606072204,-0.1850351430627041
sensitivity_wide_extremes,5,8,intermediate,ceiling,delta_u,0.11070896316797957,0.06327443048754525,0.15959122844368745
sensitivity_wide_extremes,5,8,intermediate,ceiling,wrong_correction_notC0_to_C3,-0.21814461712594135,-0.3773555516568883,-0.04629262635096462
sensitivity_wide_extremes,5,8,intermediate,ceiling,correct_corruption_C0_to_notC3,0.11546439857335575,0.06233001527485342,0.18052945202284262
sensitivity_wide_extremes,8,5,intermediate,floor,delta_u,0.16933418693982075,0.1286811779769526,0.2093469910371319
sensitivity_wide_extremes,8,5,intermediate,floor,wrong_correction_notC0_to_C3,0.6659625675295081,0.554491152792976,0.7989433387811165
sensitivity_wide_extremes,8,5,intermediate,floor,correct_corruption_C0_to_notC3,-0.7509304322931577,-0.9250936329588015,-0.39006123183002467
sensitivity_wide_extremes,8,5,intermediate,ceiling,delta_u,0.16923358331809038,0.1295774647887324,0.20761020669471367
sensitivity_wide_extremes,8,5,intermediate,ceiling,wrong_correction_notC0_to_C3,-0.1693262411347518,-0.30206033986903785,-0.015905124152012246
sensitivity_wide_extremes,8,5,intermediate,ceiling,correct_corruption_C0_to_notC3,0.08946901756631723,0.0470168248950764,0.14494875197424859
