threshold_scheme,evaluation_n,calibration_n,difficulty_band,tasks,runs,mean_calibration_difficulty,u0,utility,delta_u,correct_preservation_C0_to_C3,wrong_correction_notC0_to_C3,correct_corruption_C0_to_notC3,corrected_runs,corrupted_runs,u0_ci95_low,u0_ci95_high,utility_ci95_low,utility_ci95_high,delta_u_ci95_low,delta_u_ci95_high,correct_preservation_C0_to_C3_ci95_low,correct_preservation_C0_to_C3_ci95_high,wrong_correction_notC0_to_C3_ci95_low,wrong_correction_notC0_to_C3_ci95_high,correct_corruption_C0_to_notC3_ci95_low,correct_corruption_C0_to_notC3_ci95_high
primary_aime_aligned,5,8,floor,4,244,0.024647887323943664,0.045081967213114756,0.02459016393442623,-0.020491803278688523,0.2727272727272727,0.012875536480686695,0.7272727272727273,3,8,0.012295081967213115,0.08196721311475409,0.0,0.04918032786885246,-0.040983606557377046,0.0,0.0,0.6666666666666666,0.0,0.026785714285714284,0.3333333333333333,1.0
primary_aime_aligned,5,8,intermediate,15,915,0.6929577464788732,0.6841530054644809,0.780327868852459,0.09617486338797815,0.8690095846645367,0.5882352941176471,0.13099041533546327,170,82,0.5923497267759563,0.760655737704918,0.6961748633879782,0.853551912568306,0.05683060109289618,0.1377049180327869,0.8241558461444233,0.9069783819194234,0.4835164835164835,0.717391304347826,0.09302161808057648,0.1758441538555766
primary_aime_aligned,5,8,ceiling,31,1891,0.9768287142208087,0.973030142781597,0.9762030671602326,0.0031729243786356425,0.9798913043478261,0.8431372549019608,0.02010869565217391,43,37,0.9587519830777367,0.985193019566367,0.9613960867265997,0.98783712321523,-0.008989952406134321,0.015864621893178214,0.9681493684788578,0.9892762830846329,0.7301587301587301,0.9545454545454546,0.010723716915367132,0.03185063152114223
primary_aime_aligned,8,5,floor,4,284,0.045081967213114756,0.02464788732394366,0.04225352112676056,0.017605633802816902,0.14285714285714285,0.039711191335740074,0.8571428571428571,11,6,0.007042253521126761,0.045774647887323945,0.007042253521126761,0.07746478873239436,0.0,0.035211267605633804,0.0,0.5,0.0070921985815602835,0.08118081180811808,0.5,1.0
primary_aime_aligned,8,5,intermediate,17,1207,0.7068466730954678,0.7174813587406794,0.8591549295774648,0.14167357083678542,0.9110854503464203,0.7272727272727273,0.08891454965357967,248,77,0.6362883181441591,0.7887323943661971,0.7937033968516984,0.9130074565037283,0.09610604805302403,0.18475559237779618,0.8743653195366393,0.9408546155438687,0.6318284611284471,0.8377200243987452,0.05914538445613114,0.12563468046336065
primary_aime_aligned,8,5,ceiling,29,2059,0.9796495195025439,0.982030111704711,0.9912578921806702,0.009227780475959204,0.9920870425321464,0.9459459459459459,0.00791295746785361,35,16,0.9727901894123361,0.9902865468674114,0.9830014570179699,0.9970859640602234,0.0,0.01894123360854784,0.9850820487319741,0.9970399605328071,0.8787878787878788,1.0,0.0029600394671928957,0.014917951268025857
sensitivity_wide_extremes,5,8,floor,4,244,0.024647887323943664,0.045081967213114756,0.02459016393442623,-0.020491803278688523,0.2727272727272727,0.012875536480686695,0.7272727272727273,3,8,0.012295081967213115,0.08196721311475409,0.0,0.04918032786885246,-0.040983606557377046,0.0,0.0,0.6666666666666666,0.0,0.026785714285714284,0.3333333333333333,1.0
sensitivity_wide_extremes,5,8,intermediate,11,671,0.6299615877080665,0.6318926974664679,0.7496274217585693,0.11773472429210134,0.8561320754716981,0.5668016194331984,0.14386792452830188,140,61,0.5275707898658718,0.7198211624441133,0.646795827123696,0.8435171385991058,0.07153502235469449,0.16393442622950818,0.7918915489093155,0.9076212471131639,0.4584837545126354,0.7111140819964347,0.09237875288683603,0.20810845109068457
sensitivity_wide_extremes,5,8,ceiling,35,2135,0.9641851106639838,0.956440281030445,0.9634660421545668,0.00702576112412178,0.9715964740450539,0.7849462365591398,0.02840352595494613,73,58,0.9353629976580796,0.9751756440281031,0.9447306791569087,0.9798594847775176,-0.005152224824355972,0.019672131147540985,0.957983193277311,0.9833742514691984,0.6938775510204082,0.8955223880597015,0.016625748530801506,0.04201680672268908
sensitivity_wide_extremes,8,5,floor,4,284,0.045081967213114756,0.02464788732394366,0.04225352112676056,0.017605633802816902,0.14285714285714285,0.039711191335740074,0.8571428571428571,11,6,0.007042253521126761,0.045774647887323945,0.007042253521126761,0.07746478873239436,0.0,0.035211267605633804,0.0,0.5,0.0070921985815602835,0.08118081180811808,0.5,1.0
sensitivity_wide_extremes,8,5,intermediate,11,781,0.6244411326378541,0.6389244558258643,0.8258642765685019,0.18693982074263765,0.8937875751503006,0.7056737588652482,0.1062124248496994,199,53,0.5492957746478874,0.7195902688860435,0.737516005121639,0.9014084507042254,0.14980793854033292,0.22279129321382843,0.8386411889596603,0.9356060606060606,0.6038238478193628,0.8359390624999998,0.06439393939393939,0.1613588110403397
sensitivity_wide_extremes,8,5,ceiling,35,2485,0.9587822014051521,0.9613682092555332,0.9790744466800805,0.017706237424547282,0.9832565927166178,0.875,0.016743407283382167,84,40,0.9420422535211268,0.9778672032193159,0.9645875251509054,0.9907444668008049,0.0032193158953722333,0.03460764587525151,0.9718369062631358,0.9922134333664242,0.7901234567901234,0.956989247311828,0.007786566633575703,0.02816309373686423
