n,m,difficulty_band,graphs,tasks,runs,u0,utility,delta_u
5,4,ceiling,5,31,155,0.9741935483870968,0.9612903225806452,-0.012903225806451613
5,4,floor,5,4,20,0.05,0.05,0.0
5,4,intermediate,5,15,75,0.64,0.7866666666666666,0.14666666666666667
5,5,ceiling,5,31,155,0.9741935483870968,0.9548387096774194,-0.01935483870967742
5,5,floor,5,4,20,0.05,0.05,0.0
5,5,intermediate,5,15,75,0.76,0.7733333333333333,0.013333333333333334
5,6,ceiling,5,31,155,0.967741935483871,0.967741935483871,0.0
5,6,floor,5,4,20,0.05,0.0,-0.05
5,6,intermediate,5,15,75,0.64,0.76,0.12
5,7,ceiling,5,31,155,0.9806451612903225,0.967741935483871,-0.012903225806451613
5,7,floor,5,4,20,0.0,0.0,0.0
5,7,intermediate,5,15,75,0.64,0.7466666666666667,0.10666666666666667
5,8,ceiling,5,31,155,0.9870967741935484,0.9935483870967742,0.0064516129032258064
5,8,floor,5,4,20,0.05,0.1,0.05
5,8,intermediate,5,15,75,0.72,0.7333333333333333,0.013333333333333334
5,9,ceiling,5,31,155,0.9612903225806452,0.9870967741935484,0.025806451612903226
5,9,floor,5,4,20,0.0,0.0,0.0
5,9,intermediate,5,15,75,0.7466666666666667,0.76,0.013333333333333334
5,10,ceiling,5,31,155,0.9612903225806452,0.967741935483871,0.0064516129032258064
5,10,floor,5,4,20,0.1,0.05,-0.05
5,10,intermediate,5,15,75,0.7066666666666667,0.8,0.09333333333333334
5,11,ceiling,5,31,155,0.9935483870967742,0.9935483870967742,0.0
5,11,floor,5,4,20,0.0,0.0,0.0
5,11,intermediate,5,15,75,0.72,0.8,0.08
5,12,ceiling,5,31,155,0.9612903225806452,0.9870967741935484,0.025806451612903226
5,12,floor,5,4,20,0.1,0.0,-0.1
5,12,intermediate,5,15,75,0.6266666666666667,0.7733333333333333,0.14666666666666667
5,13,ceiling,5,31,155,0.9806451612903225,0.9806451612903225,0.0
5,13,floor,5,4,20,0.15,0.05,-0.1
5,13,intermediate,5,15,75,0.6933333333333334,0.8266666666666667,0.13333333333333333
5,14,ceiling,5,31,155,0.9612903225806452,0.9806451612903225,0.01935483870967742
5,14,floor,5,4,20,0.0,0.0,0.0
5,14,intermediate,5,15,75,0.68,0.7866666666666666,0.10666666666666667
5,15,ceiling,5,31,155,0.967741935483871,0.967741935483871,0.0
5,15,floor,5,4,20,0.0,0.0,0.0
5,15,intermediate,5,15,75,0.6666666666666666,0.8,0.13333333333333333
5,16,ceiling,1,31,31,1.0,1.0,0.0
5,16,floor,1,4,4,0.0,0.0,0.0
5,16,intermediate,1,15,15,0.5333333333333333,0.8666666666666667,0.3333333333333333
8,7,ceiling,5,29,145,1.0,0.9862068965517241,-0.013793103448275862
8,7,floor,5,4,20,0.05,0.0,-0.05
8,7,intermediate,5,17,85,0.7058823529411765,0.8,0.09411764705882353
8,10,ceiling,5,29,145,0.993103448275862,0.993103448275862,0.0
8,10,floor,5,4,20,0.0,0.05,0.05
8,10,intermediate,5,17,85,0.7176470588235294,0.8235294117647058,0.10588235294117647
8,13,ceiling,5,29,145,0.9448275862068966,0.9793103448275862,0.034482758620689655
8,13,floor,5,4,20,0.0,0.0,0.0
8,13,intermediate,5,17,85,0.788235294117647,0.8588235294117647,0.07058823529411765
8,16,ceiling,5,29,145,0.9724137931034482,0.993103448275862,0.020689655172413793
8,16,floor,5,4,20,0.05,0.0,-0.05
8,16,intermediate,5,17,85,0.7294117647058823,0.8823529411764706,0.15294117647058825
8,19,ceiling,5,29,145,0.993103448275862,0.993103448275862,0.0
8,19,floor,5,4,20,0.05,0.05,0.0
8,19,intermediate,5,17,85,0.7058823529411765,0.8,0.09411764705882353
8,22,ceiling,5,29,145,0.993103448275862,1.0,0.006896551724137931
8,22,floor,5,4,20,0.0,0.0,0.0
8,22,intermediate,5,17,85,0.6823529411764706,0.8823529411764706,0.2
8,25,ceiling,5,29,145,0.9586206896551724,0.993103448275862,0.034482758620689655
8,25,floor,5,4,20,0.0,0.1,0.1
8,25,intermediate,5,17,85,0.7294117647058823,0.8941176470588236,0.16470588235294117
