threshold_scheme,evaluation_n,calibration_n,task_id,difficulty,difficulty_band,runs,sum_u0,sum_final,sum_delta,initial_correct,initial_wrong,preserved,corrected,corrupted
primary_aime_aligned,5,8,gsm8k-test-01289,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00836,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00532,0.7746478873239436,intermediate,61,42.0,54.0,12.0,42,19,39,15,3
primary_aime_aligned,5,8,gsm8k-test-01119,0.9014084507042254,ceiling,61,54.0,50.0,-4.0,54,7,46,4,8
primary_aime_aligned,5,8,gsm8k-test-01061,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-01027,0.9014084507042254,ceiling,61,53.0,59.0,6.0,53,8,52,7,1
primary_aime_aligned,5,8,gsm8k-test-00244,0.9577464788732394,ceiling,61,56.0,56.0,0.0,56,5,53,3,3
primary_aime_aligned,5,8,gsm8k-test-00658,1.0,ceiling,61,61.0,59.0,-2.0,61,0,59,0,2
primary_aime_aligned,5,8,gsm8k-test-00312,1.0,ceiling,61,60.0,61.0,1.0,60,1,60,1,0
primary_aime_aligned,5,8,gsm8k-test-00711,0.30985915492957744,intermediate,61,13.0,24.0,11.0,13,48,9,15,4
primary_aime_aligned,5,8,gsm8k-test-00496,0.9436619718309859,ceiling,61,59.0,61.0,2.0,59,2,59,2,0
primary_aime_aligned,5,8,gsm8k-test-00468,0.9295774647887324,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
primary_aime_aligned,5,8,gsm8k-test-00497,0.5492957746478874,intermediate,61,40.0,41.0,1.0,40,21,31,10,9
primary_aime_aligned,5,8,gsm8k-test-00588,1.0,ceiling,61,59.0,60.0,1.0,59,2,58,2,1
primary_aime_aligned,5,8,gsm8k-test-00587,0.7464788732394366,intermediate,61,43.0,52.0,9.0,43,18,38,14,5
primary_aime_aligned,5,8,gsm8k-test-00617,1.0,ceiling,61,61.0,61.0,0.0,61,0,61,0,0
primary_aime_aligned,5,8,gsm8k-test-00011,1.0,ceiling,61,60.0,60.0,0.0,60,1,59,1,1
primary_aime_aligned,5,8,gsm8k-test-00252,0.7605633802816901,intermediate,61,52.0,55.0,3.0,52,9,47,8,5
primary_aime_aligned,5,8,gsm8k-test-00882,0.6901408450704225,intermediate,61,36.0,52.0,16.0,36,25,34,18,2
primary_aime_aligned,5,8,gsm8k-test-00480,0.9859154929577465,ceiling,61,61.0,58.0,-3.0,61,0,58,0,3
