n,k_correct_total,earliest_correct_arrival,cases,tasks,graphs,correction_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,0,234,9,61,0.01282051282051282,0.0,0.03076923076923077,20000
5,1,1,40,9,27,0.15,0.0,0.30303030303030304,19998
5,1,2,24,11,18,0.25,0.0625,0.38461538461538464,20000
5,1,3,4,4,3,0.0,0.0,0.0,19739
5,2,1,64,16,41,0.5,0.38636363636363635,0.6104076479076463,20000
5,2,2,10,6,9,0.7,0.3333333333333333,1.0,19974
5,3,1,94,21,51,0.7978723404255319,0.6935483870967742,0.8842105263157894,20000
5,3,2,8,8,6,0.75,0.4,1.0,19996
5,4,1,95,29,47,0.8526315789473684,0.7523809523809524,0.9459459459459459,20000
8,0,0,225,7,71,0.017777777777777778,0.0,0.05660377358490566,19994
8,1,1,34,7,31,0.20588235294117646,0.047619047619047616,0.4194821731748739,19998
8,1,2,21,6,17,0.047619047619047616,0.0,0.16666666666666666,19982
8,1,3,6,4,5,0.0,0.0,0.0,19714
8,2,1,32,8,26,0.375,0.2727272727272727,0.6153846153846154,19995
8,2,2,12,4,10,0.3333333333333333,0.0,1.0,19706
8,3,1,53,15,40,0.6037735849056604,0.4358974358974359,0.7419354838709677,20000
8,3,2,4,3,4,0.5,0.0,1.0,19082
8,3,3,1,1,1,0.0,0.0,0.0,12738
8,4,1,53,13,39,0.7735849056603774,0.6071428571428571,0.9183673469387755,20000
8,4,2,1,1,1,1.0,1.0,1.0,12759
8,5,1,75,16,47,0.8266666666666667,0.7076923076923077,0.9240506329113924,20000
8,6,1,85,25,51,0.9176470588235294,0.859375,0.9710144927536232,20000
8,7,1,53,23,38,0.9433962264150944,0.875,1.0,20000
