n,k_correct_within_h1,k_correct_within_h2,k_correct_within_h3,cases,tasks,graphs,correction_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,0,0,234,9,61,0.01282051282051282,0.0,0.030303030303030304,20000
5,0,0,1,4,4,3,0.0,0.0,0.0,19702
5,0,1,1,24,11,18,0.25,0.0625,0.38461538461538464,20000
5,0,1,2,5,4,4,0.8,0.0,1.0,19691
5,0,1,3,4,4,3,0.75,0.0,1.0,19724
5,0,2,2,5,4,5,0.6,0.0,1.0,19710
5,0,2,3,4,4,3,0.75,0.0,1.0,19714
5,1,1,1,40,9,27,0.15,0.0,0.3,20000
5,1,1,2,8,5,6,0.625,0.4,1.0,19911
5,1,1,3,3,3,3,0.6666666666666666,0.0,1.0,19080
5,1,2,2,29,14,22,0.3793103448275862,0.1935483870967742,0.55,20000
5,1,2,3,10,9,7,0.8,0.5,1.0,20000
5,1,2,4,8,7,3,0.625,0.3333333333333333,1.0,19983
5,1,3,3,15,10,12,0.6666666666666666,0.4,0.8800588235294067,20000
5,1,3,4,15,12,7,0.8666666666666667,0.7142857142857143,1.0,20000
5,1,4,4,1,1,1,1.0,1.0,1.0,12766
5,2,2,2,27,10,19,0.5925925925925926,0.4090909090909091,0.7692307692307693,19999
5,2,2,3,2,2,2,1.0,1.0,1.0,17407
5,2,3,3,30,15,20,0.8333333333333334,0.68,0.95,20000
5,2,3,4,8,7,5,0.875,0.5714285714285714,1.0,19998
5,2,4,4,20,13,11,0.85,0.6363636363636364,1.0,20000
5,3,3,3,34,19,18,0.8235294117647058,0.6333333333333333,0.9428571428571428,20000
5,3,4,4,28,17,13,0.8214285714285714,0.6388888888888888,1.0,20000
5,4,4,4,15,14,7,1.0,1.0,1.0,20000
8,0,0,0,225,7,71,0.017777777777777778,0.0,0.05555555555555555,19993
8,0,0,1,6,4,5,0.0,0.0,0.0,19715
8,0,0,3,1,1,1,0.0,0.0,0.0,12727
8,0,1,1,21,6,17,0.047619047619047616,0.0,0.16666666666666666,19976
8,0,1,2,2,2,2,0.0,0.0,0.0,17444
8,0,1,3,1,1,1,0.0,0.0,0.0,12758
8,0,2,2,10,4,9,0.4,0.0,1.0,19705
8,0,2,4,1,1,1,1.0,1.0,1.0,12766
8,0,3,3,3,3,3,0.6666666666666666,0.0,1.0,19130
8,1,1,1,34,7,31,0.20588235294117646,0.047619047619047616,0.4166666666666667,19990
8,1,1,2,3,3,2,0.0,0.0,0.0,19136
8,1,1,3,2,2,2,0.5,0.0,1.0,17342
8,1,2,2,11,4,11,0.36363636363636365,0.0,1.0,19695
8,1,2,3,5,4,5,0.6,0.0,1.0,19709
8,1,2,4,2,2,2,0.5,0.0,1.0,17446
8,1,3,3,12,5,11,0.5833333333333334,0.0,0.75,19900
8,1,3,4,4,3,4,0.5,0.0,1.0,19128
8,1,3,5,4,3,4,0.5,0.0,1.0,19132
8,1,3,6,1,1,1,1.0,1.0,1.0,12703
8,1,4,4,6,6,5,0.6666666666666666,0.25,1.0,19974
8,1,4,5,3,2,3,1.0,1.0,1.0,17464
8,1,4,6,3,3,2,0.6666666666666666,0.0,1.0,19165
8,1,5,5,1,1,1,1.0,1.0,1.0,12766
8,1,6,6,2,2,1,1.0,1.0,1.0,17414
8,2,2,2,18,7,14,0.4444444444444444,0.2727272727272727,0.8,19992
8,2,2,3,1,1,1,1.0,1.0,1.0,12700
8,2,3,3,17,7,16,0.5294117647058824,0.2857142857142857,0.8235294117647058,19993
8,2,3,4,4,4,4,1.0,1.0,1.0,19706
8,2,3,5,3,2,2,0.6666666666666666,0.0,1.0,17398
8,2,3,6,1,1,1,1.0,1.0,1.0,12607
8,2,4,4,11,6,10,0.8181818181818182,0.6363636363636364,1.0,19971
8,2,4,5,5,4,5,1.0,1.0,1.0,19711
8,2,4,6,7,7,4,0.8571428571428571,0.5,1.0,19984
8,2,5,5,9,6,7,0.7777777777777778,0.25,1.0,19969
8,2,5,6,7,6,6,0.8571428571428571,0.5,1.0,19963
8,2,5,7,4,4,3,1.0,1.0,1.0,19696
8,2,6,6,7,5,6,0.8571428571428571,0.7142857142857143,1.0,19889
8,2,6,7,3,3,2,1.0,1.0,1.0,19130
8,2,7,7,2,2,2,1.0,1.0,1.0,17464
8,3,3,3,16,8,13,0.6875,0.46153846153846156,0.8888888888888888,19998
8,3,4,4,16,8,15,0.8125,0.5261904761904763,1.0,19999
8,3,4,5,4,4,4,0.5,0.0,1.0,19707
8,3,5,5,16,8,12,0.875,0.6666666666666666,1.0,19999
8,3,5,6,3,3,3,0.6666666666666666,0.0,1.0,19098
8,3,5,7,1,1,1,1.0,1.0,1.0,12780
8,3,6,6,10,7,8,0.9,0.7142857142857143,1.0,19990
8,3,6,7,3,3,3,1.0,1.0,1.0,19122
8,3,7,7,1,1,1,1.0,1.0,1.0,12861
8,4,4,4,10,6,8,0.8,0.3333333333333333,1.0,19972
8,4,5,5,13,11,12,0.9230769230769231,0.7272727272727273,1.0,20000
8,4,5,6,1,1,1,1.0,1.0,1.0,12766
8,4,6,6,17,10,13,0.9411764705882353,0.8518518518518519,1.0,20000
8,4,6,7,7,6,3,0.8571428571428571,0.5,1.0,19970
8,4,7,7,10,10,7,0.9,0.6666666666666666,1.0,20000
8,5,5,5,17,10,13,0.8235294117647058,0.5555555555555556,1.0,20000
8,5,6,6,16,12,11,1.0,1.0,1.0,20000
8,5,7,7,9,8,7,0.8888888888888888,0.7142857142857143,1.0,19994
8,6,6,6,10,10,7,1.0,1.0,1.0,20000
8,6,7,7,10,7,6,1.0,1.0,1.0,19992
8,7,7,7,3,3,3,1.0,1.0,1.0,19100
