n,k_correct_total,cases,tasks,graphs,correction_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,234,9,61,0.01282051282051282,0.0,0.03076923076923077,19999
5,1,68,13,41,0.17647058823529413,0.04878048780487805,0.2916666666666667,20000
5,2,74,17,44,0.527027027027027,0.42028985507246375,0.64,20000
5,3,102,21,51,0.7941176470588235,0.7073170731707317,0.8673469387755102,20000
5,4,95,29,47,0.8526315789473684,0.75,0.9425287356321839,20000
8,0,225,7,71,0.017777777777777778,0.0,0.05660377358490566,19990
8,1,61,7,44,0.13114754098360656,0.029411764705882353,0.2441860465116279,19991
8,2,44,9,34,0.36363636363636365,0.2727272727272727,0.625,20000
8,3,58,15,43,0.5862068965517241,0.41304347826086957,0.7123287671232876,20000
8,4,54,13,40,0.7777777777777778,0.6153846153846154,0.9183673469387755,20000
8,5,75,16,47,0.8266666666666667,0.7058823529411765,0.9250093283582081,20000
8,6,85,25,51,0.9176470588235294,0.86,0.9716981132075472,20000
8,7,53,23,38,0.9433962264150944,0.8775510204081632,1.0,20000
