n,task_id,k_correct_total,cases,spearman
5,gsm8k-test-00497,2,8,0.14907119849998599
5,gsm8k-test-00497,3,8,0.14285714285714285
5,gsm8k-test-00532,3,8,-0.9999999999999999
5,gsm8k-test-00587,3,8,-0.9999999999999999
5,gsm8k-test-00711,1,14,0.14907119849998599
5,gsm8k-test-00711,2,11,-0.5163977794943223
5,gsm8k-test-00711,3,5,0.408248290463863
5,gsm8k-test-00736,1,10,-0.42257712736425834
5,gsm8k-test-00835,1,10,0.19245008972987523
5,gsm8k-test-00882,2,7,0.39999999999999997
5,gsm8k-test-01005,1,5,0.16666666666666669
5,gsm8k-test-01005,3,8,0.2927700218845599
5,gsm8k-test-01119,3,4,0.5773502691896257
5,gsm8k-test-01240,2,9,0.31622776601683794
8,gsm8k-test-00711,1,7,-0.3527668414752787
8,gsm8k-test-00711,2,24,0.0
8,gsm8k-test-00711,3,12,-0.3567530340063379
8,gsm8k-test-00736,1,5,-0.3952847075210474
8,gsm8k-test-00736,2,7,0.09128709291752768
8,gsm8k-test-00736,3,17,0.18463723646899913
8,gsm8k-test-00814,1,22,-0.17908090586514533
8,gsm8k-test-00814,2,5,-0.408248290463863
8,gsm8k-test-00835,1,15,-0.5378254348272379
8,gsm8k-test-01005,3,7,-0.6454972243679028
