n,task_id,cases,spearman
5,gsm8k-test-00064,14,-0.48304589153964794
5,gsm8k-test-00252,9,0.51234753829798
5,gsm8k-test-00271,15,0.5306865014453275
5,gsm8k-test-00497,21,0.5179012363280394
5,gsm8k-test-00532,19,0.05205235263972002
5,gsm8k-test-00587,18,0.6826658104048072
5,gsm8k-test-00691,9,0.09759000729485333
5,gsm8k-test-00711,48,0.46093034988472426
5,gsm8k-test-00736,32,0.5669910074167497
5,gsm8k-test-00814,58,-0.07782550152994604
5,gsm8k-test-00835,55,0.16025399127347054
5,gsm8k-test-00882,25,0.6279749778000238
5,gsm8k-test-01005,25,0.3283997167185053
5,gsm8k-test-01027,8,-0.14285714285714285
5,gsm8k-test-01119,7,0.6440611887195306
5,gsm8k-test-01195,3,1.0
5,gsm8k-test-01240,22,0.5436197090427292
5,gsm8k-test-01247,10,0.5039526306789696
8,gsm8k-test-00027,8,0.6622661785325219
8,gsm8k-test-00064,10,0.39374961547907883
8,gsm8k-test-00244,3,1.0
8,gsm8k-test-00271,24,0.2691511504890517
8,gsm8k-test-00497,32,0.22295101612127394
8,gsm8k-test-00532,16,0.4681136985632964
8,gsm8k-test-00587,18,-0.2963590387672365
8,gsm8k-test-00611,70,0.46056618647183833
8,gsm8k-test-00691,10,0.7302967433402215
8,gsm8k-test-00711,49,0.31819745818645706
8,gsm8k-test-00736,37,0.4872298960155968
8,gsm8k-test-00814,69,0.14143739919622791
8,gsm8k-test-00835,67,0.3732247240298717
8,gsm8k-test-00882,22,0.47973630472949075
8,gsm8k-test-01005,28,0.2566694167108639
8,gsm8k-test-01119,7,0.45825756949558405
8,gsm8k-test-01195,6,0.447213595499958
8,gsm8k-test-01240,26,0.4488553438572136
8,gsm8k-test-01247,10,0.15883524325588977
