n,k_noncorrect_total,earliest_noncorrect_arrival,cases,tasks,graphs,corruption_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,0,1848,45,61,0.013528138528138528,0.007342143906020558,0.02081331994484235,20000
5,1,1,265,39,57,0.06037735849056604,0.03162055335968379,0.0888903863432164,20000
5,1,2,118,33,40,0.07627118644067797,0.032049999999999995,0.12931034482758622,20000
5,1,3,26,21,13,0.07692307692307693,0.0,0.19230769230769232,20000
5,2,1,121,23,52,0.2892561983471074,0.20481927710843373,0.3764705882352941,20000
5,2,2,23,12,14,0.17391304347826086,0.04,0.35714285714285715,20000
5,2,3,3,3,2,0.0,0.0,0.0,19103
5,3,1,51,16,36,0.45098039215686275,0.34146341463414637,0.5925925925925926,20000
5,3,2,3,3,3,0.0,0.0,0.0,19114
5,4,1,19,9,16,0.6842105263157895,0.4166666666666667,0.875,19999
8,0,0,1895,45,71,0.0036939313984168864,0.0011185369877394922,0.0069753375737035715,20000
8,1,1,275,35,67,0.06181818181818182,0.019230769230769232,0.11194179104477599,20000
8,1,2,169,35,55,0.029585798816568046,0.007297947741457739,0.05357142857142857,20000
8,1,3,35,24,15,0.08571428571428572,0.0,0.1935483870967742,20000
8,2,1,224,26,69,0.06696428571428571,0.038314176245210725,0.09712281603288794,20000
8,2,2,41,18,24,0.024390243902439025,0.0,0.07692307692307693,20000
8,2,3,5,4,4,0.0,0.0,0.0,19680
8,3,1,137,19,62,0.10948905109489052,0.05920085139318886,0.1688333625833624,20000
8,3,2,8,8,7,0.0,0.0,0.0,19996
8,4,1,44,14,35,0.13636363636363635,0.06060606060606061,0.21739130434782608,20000
8,4,2,3,3,3,0.6666666666666666,0.0,1.0,19090
8,5,1,29,8,26,0.27586206896551724,0.125,0.3793103448275862,19995
8,6,1,19,8,19,0.47368421052631576,0.18181818181818182,0.7,19998
8,7,1,11,6,10,1.0,1.0,1.0,19974
