n,k_noncorrect_total,cases,tasks,graphs,corruption_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,1848,45,61,0.013528138528138528,0.0074528190510543746,0.02067951316635938,20000
5,1,409,41,61,0.06601466992665037,0.043243243243243246,0.09036188485721307,20000
5,2,147,23,57,0.2653061224489796,0.19548872180451127,0.3316831683168317,20000
5,3,54,16,38,0.42592592592592593,0.31816378066378065,0.5636363636363636,20000
5,4,19,9,16,0.6842105263157895,0.4117647058823529,0.88,19997
8,0,1895,45,71,0.0036939313984168864,0.00108990341519593,0.006960585688227507,20000
8,1,479,39,71,0.05219206680584551,0.02159827213822894,0.08763021113574229,20000
8,2,270,27,71,0.05925925925925926,0.03389830508474576,0.08547087980173475,20000
8,3,145,19,62,0.10344827586206896,0.05555555555555555,0.16154040404040387,20000
8,4,47,14,38,0.1702127659574468,0.09090909090909091,0.23809523809523808,20000
8,5,29,8,26,0.27586206896551724,0.13043478260869565,0.38,19993
8,6,19,8,19,0.47368421052631576,0.18181818181818182,0.7,19995
8,7,11,6,10,1.0,1.0,1.0,19965
