n,k_parsed_wrong_total,cases,tasks,graphs,corruption_rate,ci95_low,ci95_high,valid_bootstrap_draws
5,0,1931,45,61,0.01605385810460901,0.008786359824442657,0.024762953991871735,20000
5,1,372,35,61,0.07258064516129033,0.04559270516717325,0.10057471264367816,20000
5,2,122,23,58,0.32786885245901637,0.26446043507172035,0.38461538461538464,20000
5,3,41,12,31,0.5609756097560976,0.4124816176470588,0.7777777777777778,20000
5,4,11,6,10,0.5454545454545454,0.2,0.8333333333333334,19970
8,0,2021,45,71,0.004948045522018802,0.0021287919105907396,0.008301101723706655,20000
8,1,442,33,71,0.05656108597285068,0.022779043280182234,0.09692701548704585,20000
8,2,241,26,70,0.08298755186721991,0.05357142857142857,0.11212192013593876,20000
8,3,110,19,52,0.09090909090909091,0.03389830508474576,0.16129032258064516,20000
8,4,33,11,28,0.24242424242424243,0.10714285714285714,0.35135135135135137,20000
8,5,24,8,20,0.2916666666666667,0.14285714285714285,0.45454545454545453,19995
8,6,16,6,16,0.6875,0.5454545454545454,1.0,19975
8,7,8,5,7,1.0,1.0,1.0,19898
