n,task_id,cases,spearman
5,gsm8k-test-00011,60,-0.03479445003196105
5,gsm8k-test-00027,52,0.10648415141594358
5,gsm8k-test-00064,47,0.17049344719209397
5,gsm8k-test-00096,59,0.1905193970527871
5,gsm8k-test-00244,56,0.1118225140478966
5,gsm8k-test-00252,52,0.3897599688853316
5,gsm8k-test-00254,61,-0.023769134427076413
5,gsm8k-test-00271,46,0.3318313751506645
5,gsm8k-test-00396,61,0.20971084947590096
5,gsm8k-test-00468,59,-0.05563321765477679
5,gsm8k-test-00497,40,0.6122481771548132
5,gsm8k-test-00503,60,-0.03479445003196105
5,gsm8k-test-00508,59,-0.044179794720533405
5,gsm8k-test-00532,42,0.36982456183662055
5,gsm8k-test-00587,43,0.25307431006529973
5,gsm8k-test-00588,59,-0.024595948397164093
5,gsm8k-test-00679,55,0.4340419114342479
5,gsm8k-test-00691,52,0.42508988979899787
5,gsm8k-test-00711,13,0.4149856077489883
5,gsm8k-test-00736,29,0.3503812457309771
5,gsm8k-test-00807,48,0.09504969130435151
5,gsm8k-test-00864,61,0.19649843315686555
5,gsm8k-test-00882,36,0.3377111354601255
5,gsm8k-test-01005,36,0.310597879531373
5,gsm8k-test-01027,53,0.18910397216071465
5,gsm8k-test-01119,54,0.2010933249939455
5,gsm8k-test-01195,58,0.09406894453868786
5,gsm8k-test-01240,39,0.36396193217762846
5,gsm8k-test-01247,51,0.475432508991858
8,gsm8k-test-00011,71,0.22160131510697959
8,gsm8k-test-00027,63,0.13839427725284048
8,gsm8k-test-00064,61,0.06569805409033706
8,gsm8k-test-00080,68,-0.09466500029615557
8,gsm8k-test-00244,68,0.2766041797254329
8,gsm8k-test-00252,54,0.13141914415662292
8,gsm8k-test-00254,70,-0.02064600347538335
8,gsm8k-test-00319,70,0.35518336038123094
8,gsm8k-test-00396,67,0.1938586895208985
8,gsm8k-test-00497,39,0.2729959334746053
8,gsm8k-test-00508,71,-0.0670623180135797
8,gsm8k-test-00532,55,0.0874936789862807
8,gsm8k-test-00587,53,0.36140965555388455
8,gsm8k-test-00588,71,-0.053903330205692504
8,gsm8k-test-00691,61,0.09446135404832777
8,gsm8k-test-00711,22,0.5272011105069244
8,gsm8k-test-00736,34,0.5821041192215954
8,gsm8k-test-00807,51,0.06405845865713858
8,gsm8k-test-00814,2,0.9999999999999999
8,gsm8k-test-00882,49,0.07415190803928734
8,gsm8k-test-01005,43,0.29753637346782075
8,gsm8k-test-01027,64,0.10540598953868248
8,gsm8k-test-01119,64,0.32725505407923133
8,gsm8k-test-01195,65,0.27850293728168185
8,gsm8k-test-01240,45,0.28746173105079015
8,gsm8k-test-01247,61,0.23358236188644374
