n,task_id,k_noncorrect_total,cases,spearman
5,gsm8k-test-00027,1,29,-0.17773692341028954
5,gsm8k-test-00027,2,3,-0.5000000000000001
5,gsm8k-test-00064,1,26,-0.15359584115352778
5,gsm8k-test-00096,1,19,0.24845199749997662
5,gsm8k-test-00244,1,9,-0.375
5,gsm8k-test-00252,1,22,0.07386710503565985
5,gsm8k-test-00252,2,7,-0.2581988897471611
5,gsm8k-test-00271,2,6,0.632455532033676
5,gsm8k-test-00396,1,13,-0.23177361425421752
5,gsm8k-test-00497,2,15,0.049975018734388664
5,gsm8k-test-00532,1,13,-0.19002923751652298
5,gsm8k-test-00532,2,5,0.16666666666666669
5,gsm8k-test-00587,2,10,0.21821789023599236
5,gsm8k-test-00679,1,16,-0.19694638556693236
5,gsm8k-test-00691,1,19,-0.030631219449089378
5,gsm8k-test-00691,2,4,-0.5773502691896257
5,gsm8k-test-00711,3,7,-0.35355339059327373
5,gsm8k-test-00736,2,12,-0.17407765595569785
5,gsm8k-test-00807,1,18,-0.12887589588356851
5,gsm8k-test-00807,2,14,-0.20351933162035316
5,gsm8k-test-00864,1,7,0.6831300510639731
5,gsm8k-test-01005,1,7,0.30000000000000004
5,gsm8k-test-01005,2,15,-0.23652495839563306
5,gsm8k-test-01027,1,15,0.2594372608313854
5,gsm8k-test-01119,1,13,0.2724746304565331
5,gsm8k-test-01119,2,4,-0.5773502691896257
5,gsm8k-test-01195,1,14,0.6454972243679029
5,gsm8k-test-01240,1,12,0.492365963917331
5,gsm8k-test-01240,2,15,-0.46770717334674267
5,gsm8k-test-01240,3,5,-0.408248290463863
5,gsm8k-test-01247,1,15,0.24397501823713327
5,gsm8k-test-01247,2,14,-0.3042903097250923
8,gsm8k-test-00011,1,16,-0.17407765595569782
8,gsm8k-test-00027,2,14,-0.1132277034144596
8,gsm8k-test-00064,1,26,0.15676612288358288
8,gsm8k-test-00244,1,27,-0.3013818905575516
8,gsm8k-test-00252,2,20,-0.19055398349167646
8,gsm8k-test-00319,1,6,0.7071067811865477
8,gsm8k-test-00396,1,16,0.3829708431025352
8,gsm8k-test-00497,2,9,-0.1875
8,gsm8k-test-00497,3,17,-0.0625
8,gsm8k-test-00532,1,14,0.27417119542470836
8,gsm8k-test-00532,2,26,-0.13043478260869565
8,gsm8k-test-00587,1,15,-0.24397501823713327
8,gsm8k-test-00691,1,22,-0.33166247903553997
8,gsm8k-test-00736,3,9,-0.125
8,gsm8k-test-00807,2,16,-0.09759000729485333
8,gsm8k-test-00807,3,16,-0.06666666666666667
8,gsm8k-test-00882,2,24,-0.06281001030561872
8,gsm8k-test-01005,3,15,-0.1336306209562122
8,gsm8k-test-01005,4,5,1.0
8,gsm8k-test-01027,1,26,-0.15643077777500858
8,gsm8k-test-01027,2,15,-0.07142857142857142
8,gsm8k-test-01119,1,24,-0.15091689362853095
8,gsm8k-test-01195,2,12,0.15811388300841894
8,gsm8k-test-01240,2,10,-0.25
8,gsm8k-test-01240,3,11,-0.10000000000000002
8,gsm8k-test-01240,4,9,0.6614378277661476
8,gsm8k-test-01247,1,21,0.09733285267845752
8,gsm8k-test-01247,2,20,-0.16643566632465154
